Ligand,Binding Affinity,rmsd_ub, rmsd_lb
5edp_289_uff_E=55.42,-4.9,0,0
5edp_289_uff_E=55.42,-4.3,12.916,11.51
5edp_289_uff_E=55.42,-4.3,12.81,11.55
5edp_289_uff_E=55.42,-4.2,15.509,15.216
5edp_289_uff_E=55.42,-4,7.895,7.505
5edp_289_uff_E=55.42,-4,12.58,11.707
5edp_289_uff_E=55.42,-3.9,12.959,12.18
5edp_289_uff_E=55.42,-3.8,34.734,33.959
5edp_289_uff_E=55.42,-3.8,11.157,10.293
5edp_892_uff_E=156.51,-5.6,0,0
5edp_892_uff_E=156.51,-5.4,3.96,1.204
5edp_892_uff_E=156.51,-5.3,4.248,0.773
5edp_892_uff_E=156.51,-5.2,3.345,1.244
5edp_892_uff_E=156.51,-4.8,35.07,33.641
5edp_892_uff_E=156.51,-4.8,3.504,1.649
5edp_892_uff_E=156.51,-4.8,3.12,1.663
5edp_892_uff_E=156.51,-4.6,37.635,35.688
5edp_892_uff_E=156.51,-4.6,34.893,33.536
5edp_938_uff_E=58.73,-4.8,0,0
5edp_938_uff_E=58.73,-4.4,32.329,31.663
5edp_938_uff_E=58.73,-4.4,32.516,31.775
5edp_938_uff_E=58.73,-4.4,7.24,6.333
5edp_938_uff_E=58.73,-4.2,15.384,14.85
5edp_938_uff_E=58.73,-4.2,13.726,12.573
5edp_938_uff_E=58.73,-4.2,2.09,1.828
5edp_938_uff_E=58.73,-4.2,16.677,16.19
5edp_938_uff_E=58.73,-4.2,3.801,3.151
5edp_985_uff_E=57.46,-4.9,0,0
5edp_985_uff_E=57.46,-4.8,17.728,15.277
5edp_985_uff_E=57.46,-4.5,32.221,29.32
5edp_985_uff_E=57.46,-4.5,18.363,15.454
5edp_985_uff_E=57.46,-4.5,18.381,15.707
5edp_985_uff_E=57.46,-4.4,18.176,15.304
5edp_985_uff_E=57.46,-4.4,18.124,15.266
5edp_985_uff_E=57.46,-4.4,19.22,16.516
5edp_985_uff_E=57.46,-4.3,18.956,16.093
5edp_1054_uff_E=125.61,-4.8,0,0
5edp_1054_uff_E=125.61,-4.8,3.666,1.419
5edp_1054_uff_E=125.61,-4.8,33.407,31.011
5edp_1054_uff_E=125.61,-4.6,26.872,25.593
5edp_1054_uff_E=125.61,-4.5,20.823,19.212
5edp_1054_uff_E=125.61,-4.5,21.04,19.01
5edp_1054_uff_E=125.61,-4.5,37.719,36.48
5edp_1054_uff_E=125.61,-4.4,26.387,24.802
5edp_1054_uff_E=125.61,-4.4,26.733,24.434
5edp_1057_uff_E=62.72,-4.8,0,0
5edp_1057_uff_E=62.72,-4.8,2.778,0.008
5edp_1057_uff_E=62.72,-4.6,2.683,2.021
5edp_1057_uff_E=62.72,-4.6,2.598,2.012
5edp_1057_uff_E=62.72,-4.5,33.031,32.048
5edp_1057_uff_E=62.72,-4.5,33.121,32.042
5edp_1057_uff_E=62.72,-4.4,21.503,20.395
5edp_1057_uff_E=62.72,-4.4,36.63,35.363
5edp_1057_uff_E=62.72,-4.4,36.559,35.357
5edp_3764_uff_E=337.15,-6.5,0,0
5edp_3764_uff_E=337.15,-6.5,7.213,1.661
5edp_3764_uff_E=337.15,-6.4,2.28,1.548
5edp_3764_uff_E=337.15,-6.3,7.471,1.941
5edp_3764_uff_E=337.15,-6.2,15.83,14.095
5edp_3764_uff_E=337.15,-6.2,7.121,1.871
5edp_3764_uff_E=337.15,-6.1,2.38,1.868
5edp_3764_uff_E=337.15,-6.1,5.237,3.46
5edp_3764_uff_E=337.15,-5.9,26.962,25.402
5edp_4276_uff_E=330.81,-5,0,0
5edp_4276_uff_E=330.81,-5,5.328,2.521
5edp_4276_uff_E=330.81,-4.9,5.151,3.525
5edp_4276_uff_E=330.81,-4.9,3.651,1.784
5edp_4276_uff_E=330.81,-4.9,25.761,23.84
5edp_4276_uff_E=330.81,-4.9,3.878,2.732
5edp_4276_uff_E=330.81,-4.8,5.01,3.36
5edp_4276_uff_E=330.81,-4.8,5.427,3.094
5edp_4276_uff_E=330.81,-4.7,4.727,3.256
5edp_5997_uff_E=549.32,-7.7,0,0
5edp_5997_uff_E=549.32,-7.7,25.411,23.488
5edp_5997_uff_E=549.32,-7.7,6.753,3.708
5edp_5997_uff_E=549.32,-7.6,3.147,1.628
5edp_5997_uff_E=549.32,-7.4,9.01,3.417
5edp_5997_uff_E=549.32,-7.3,1.977,1.178
5edp_5997_uff_E=549.32,-7.3,8.745,4.566
5edp_5997_uff_E=549.32,-7.2,8.304,3.607
5edp_5997_uff_E=549.32,-7.2,8.971,3.57
5edp_6613_uff_E=133.81,-4.7,0,0
5edp_6613_uff_E=133.81,-4.6,4.98,1.707
5edp_6613_uff_E=133.81,-4.4,4.79,1.683
5edp_6613_uff_E=133.81,-4.3,28.472,26.43
5edp_6613_uff_E=133.81,-4.2,5.005,1.544
5edp_6613_uff_E=133.81,-4.2,27.752,26.083
5edp_6613_uff_E=133.81,-4.1,27.212,25.771
5edp_6613_uff_E=133.81,-4,36.103,34.091
5edp_6613_uff_E=133.81,-4,28.138,26.114
5edp_6989_uff_E=95.97,-5.2,0,0
5edp_6989_uff_E=95.97,-4.9,14.127,12.126
5edp_6989_uff_E=95.97,-4.9,14.211,12.007
5edp_6989_uff_E=95.97,-4.9,4.197,1.431
5edp_6989_uff_E=95.97,-4.9,14.305,12.428
5edp_6989_uff_E=95.97,-4.9,12.071,9.817
5edp_6989_uff_E=95.97,-4.9,2.983,2.032
5edp_6989_uff_E=95.97,-4.8,20.26,19.186
5edp_6989_uff_E=95.97,-4.8,12.116,9.922
