Ligand,Binding Affinity,rmsd/ub, rmsd/lb
2vqj_cleaned_289_uff_E=55.42,-5.0,0.0,0.0
2vqj_cleaned_289_uff_E=55.42,-5.0,2.213,0.157
2vqj_cleaned_289_uff_E=55.42,-4.5,30.318,29.382
2vqj_cleaned_289_uff_E=55.42,-4.5,2.912,2.317
2vqj_cleaned_289_uff_E=55.42,-4.4,3.392,2.941
2vqj_cleaned_289_uff_E=55.42,-4.3,12.973,12.175
2vqj_cleaned_289_uff_E=55.42,-4.3,24.14,23.884
2vqj_cleaned_289_uff_E=55.42,-4.3,23.983,23.303
2vqj_cleaned_289_uff_E=55.42,-4.3,22.216,22.072
2vqj_cleaned_892_uff_E=156.51,-5.2,0.0,0.0
2vqj_cleaned_892_uff_E=156.51,-5.0,49.444,48.257
2vqj_cleaned_892_uff_E=156.51,-5.0,49.335,48.098
2vqj_cleaned_892_uff_E=156.51,-4.9,49.93,48.737
2vqj_cleaned_892_uff_E=156.51,-4.9,3.086,1.201
2vqj_cleaned_892_uff_E=156.51,-4.9,31.342,30.509
2vqj_cleaned_892_uff_E=156.51,-4.9,21.747,19.982
2vqj_cleaned_892_uff_E=156.51,-4.8,28.2,26.536
2vqj_cleaned_892_uff_E=156.51,-4.8,43.453,42.354
2vqj_cleaned_938_uff_E=58.73,-5.0,0.0,0.0
2vqj_cleaned_938_uff_E=58.73,-4.6,14.311,13.568
2vqj_cleaned_938_uff_E=58.73,-4.5,3.94,3.165
2vqj_cleaned_938_uff_E=58.73,-4.5,3.604,2.991
2vqj_cleaned_938_uff_E=58.73,-4.4,19.962,19.155
2vqj_cleaned_938_uff_E=58.73,-4.4,22.086,21.198
2vqj_cleaned_938_uff_E=58.73,-4.4,12.048,11.43
2vqj_cleaned_938_uff_E=58.73,-4.3,19.45,18.678
2vqj_cleaned_938_uff_E=58.73,-4.1,22.185,21.481
2vqj_cleaned_985_uff_E=57.46,-5.3,0.0,0.0
2vqj_cleaned_985_uff_E=57.46,-5.0,7.162,5.022
2vqj_cleaned_985_uff_E=57.46,-5.0,3.457,1.83
2vqj_cleaned_985_uff_E=57.46,-4.9,7.938,3.784
2vqj_cleaned_985_uff_E=57.46,-4.9,10.049,6.608
2vqj_cleaned_985_uff_E=57.46,-4.8,6.345,4.684
2vqj_cleaned_985_uff_E=57.46,-4.5,7.65,4.561
2vqj_cleaned_985_uff_E=57.46,-4.5,15.908,12.843
2vqj_cleaned_985_uff_E=57.46,-4.5,32.323,28.439
2vqj_cleaned_1054_uff_E=125.61,-5.2,0.0,0.0
2vqj_cleaned_1054_uff_E=125.61,-5.1,3.518,1.7
2vqj_cleaned_1054_uff_E=125.61,-5.0,30.035,28.344
2vqj_cleaned_1054_uff_E=125.61,-4.7,13.486,11.21
2vqj_cleaned_1054_uff_E=125.61,-4.6,18.007,16.852
2vqj_cleaned_1054_uff_E=125.61,-4.6,14.596,13.581
2vqj_cleaned_1054_uff_E=125.61,-4.6,2.847,1.923
2vqj_cleaned_1054_uff_E=125.61,-4.5,15.635,14.734
2vqj_cleaned_1054_uff_E=125.61,-4.4,10.559,8.959
2vqj_cleaned_1057_uff_E=62.72,-5.0,0.0,0.0
2vqj_cleaned_1057_uff_E=62.72,-4.9,2.708,2.293
2vqj_cleaned_1057_uff_E=62.72,-4.7,3.702,3.072
2vqj_cleaned_1057_uff_E=62.72,-4.6,22.223,22.093
2vqj_cleaned_1057_uff_E=62.72,-4.6,2.974,1.822
