Ligand,Binding Affinity,rmsd/ub, rmsd/lb
3c5k_cleaned_289_uff_E=55.42,-4.6,0.0,0.0
3c5k_cleaned_289_uff_E=55.42,-4.6,2.208,0.119
3c5k_cleaned_289_uff_E=55.42,-4.4,5.101,3.936
3c5k_cleaned_289_uff_E=55.42,-4.4,3.782,2.508
3c5k_cleaned_289_uff_E=55.42,-4.2,4.588,3.747
3c5k_cleaned_289_uff_E=55.42,-4.2,2.953,2.367
3c5k_cleaned_289_uff_E=55.42,-4.0,19.433,18.392
3c5k_cleaned_289_uff_E=55.42,-4.0,19.449,18.403
3c5k_cleaned_289_uff_E=55.42,-4.0,21.178,20.096
3c5k_cleaned_892_uff_E=156.51,-4.9,0.0,0.0
3c5k_cleaned_892_uff_E=156.51,-4.8,10.475,9.097
3c5k_cleaned_892_uff_E=156.51,-4.5,2.963,1.716
3c5k_cleaned_892_uff_E=156.51,-4.5,10.759,9.464
3c5k_cleaned_892_uff_E=156.51,-4.5,11.278,9.698
3c5k_cleaned_892_uff_E=156.51,-4.4,16.417,14.715
3c5k_cleaned_892_uff_E=156.51,-4.3,11.415,9.536
3c5k_cleaned_892_uff_E=156.51,-4.3,16.928,14.848
3c5k_cleaned_892_uff_E=156.51,-4.3,16.574,14.633
3c5k_cleaned_938_uff_E=58.73,-5.2,0.0,0.0
3c5k_cleaned_938_uff_E=58.73,-4.6,3.421,2.305
3c5k_cleaned_938_uff_E=58.73,-4.4,4.241,2.982
3c5k_cleaned_938_uff_E=58.73,-4.4,3.925,3.221
3c5k_cleaned_938_uff_E=58.73,-4.2,3.731,2.921
3c5k_cleaned_938_uff_E=58.73,-4.2,11.492,10.933
3c5k_cleaned_938_uff_E=58.73,-4.2,14.748,13.976
3c5k_cleaned_938_uff_E=58.73,-4.2,18.259,17.408
3c5k_cleaned_938_uff_E=58.73,-4.1,5.965,5.525
3c5k_cleaned_985_uff_E=57.46,-5.1,0.0,0.0
3c5k_cleaned_985_uff_E=57.46,-4.8,7.711,3.61
