Ligand,Binding Affinity,rmsd/ub, rmsd/lb
4bkx_cleaned_289_uff_E=55.42,-4.7,0.0,0.0
4bkx_cleaned_289_uff_E=55.42,-4.7,2.208,0.078
4bkx_cleaned_289_uff_E=55.42,-4.5,16.797,16.491
4bkx_cleaned_289_uff_E=55.42,-4.5,16.782,16.494
4bkx_cleaned_289_uff_E=55.42,-4.4,16.835,16.311
4bkx_cleaned_289_uff_E=55.42,-4.3,32.177,31.105
4bkx_cleaned_289_uff_E=55.42,-4.3,32.127,31.083
4bkx_cleaned_289_uff_E=55.42,-4.2,2.465,1.146
4bkx_cleaned_289_uff_E=55.42,-4.0,2.796,1.83
4bkx_cleaned_892_uff_E=156.51,-5.0,0.0,0.0
4bkx_cleaned_892_uff_E=156.51,-4.7,3.891,0.971
4bkx_cleaned_892_uff_E=156.51,-4.7,3.182,1.107
4bkx_cleaned_892_uff_E=156.51,-4.6,35.849,34.119
4bkx_cleaned_892_uff_E=156.51,-4.5,35.689,34.006
4bkx_cleaned_892_uff_E=156.51,-4.5,20.502,19.355
4bkx_cleaned_892_uff_E=156.51,-4.4,37.998,36.639
4bkx_cleaned_892_uff_E=156.51,-4.4,3.699,2.081
4bkx_cleaned_892_uff_E=156.51,-4.4,37.318,36.443
4bkx_cleaned_938_uff_E=58.73,-4.4,0.0,0.0
4bkx_cleaned_938_uff_E=58.73,-4.3,16.446,16.026
4bkx_cleaned_938_uff_E=58.73,-4.3,28.883,28.522
4bkx_cleaned_938_uff_E=58.73,-4.3,16.481,16.005
4bkx_cleaned_938_uff_E=58.73,-4.2,2.63,2.346
4bkx_cleaned_938_uff_E=58.73,-4.1,33.174,32.224
4bkx_cleaned_938_uff_E=58.73,-4.0,31.809,31.353
4bkx_cleaned_938_uff_E=58.73,-4.0,21.834,21.034
4bkx_cleaned_938_uff_E=58.73,-4.0,3.014,2.382
4bkx_cleaned_985_uff_E=57.46,-4.0,0.0,0.0
4bkx_cleaned_985_uff_E=57.46,-4.0,33.207,30.177
4bkx_cleaned_985_uff_E=57.46,-3.9,8.667,6.446
4bkx_cleaned_985_uff_E=57.46,-3.8,22.977,20.313
4bkx_cleaned_985_uff_E=57.46,-3.7,23.283,19.811
4bkx_cleaned_985_uff_E=57.46,-3.7,34.074,30.563
4bkx_cleaned_985_uff_E=57.46,-3.7,33.8,30.095
4bkx_cleaned_985_uff_E=57.46,-3.7,6.668,4.549
4bkx_cleaned_985_uff_E=57.46,-3.6,22.046,19.799
4bkx_cleaned_1054_uff_E=125.61,-5.0,0.0,0.0
4bkx_cleaned_1054_uff_E=125.61,-4.8,3.097,1.565
4bkx_cleaned_1054_uff_E=125.61,-4.6,19.037,17.422
4bkx_cleaned_1054_uff_E=125.61,-4.6,35.815,34.297
4bkx_cleaned_1054_uff_E=125.61,-4.5,26.481,24.958
4bkx_cleaned_1054_uff_E=125.61,-4.5,18.631,17.314
4bkx_cleaned_1054_uff_E=125.61,-4.5,42.475,41.679
4bkx_cleaned_1054_uff_E=125.61,-4.5,29.816,28.961
4bkx_cleaned_1054_uff_E=125.61,-4.5,35.416,33.99
4bkx_cleaned_1057_uff_E=62.72,-4.8,0.0,0.0
4bkx_cleaned_1057_uff_E=62.72,-4.7,30.148,28.916
4bkx_cleaned_1057_uff_E=62.72,-4.7,30.235,28.916
4bkx_cleaned_1057_uff_E=62.72,-4.5,16.81,16.474
4bkx_cleaned_1057_uff_E=62.72,-4.4,27.422,26.421
4bkx_cleaned_1057_uff_E=62.72,-4.4,27.433,26.423
4bkx_cleaned_1057_uff_E=62.72,-4.4,30.1,28.804
4bkx_cleaned_1057_uff_E=62.72,-4.3,27.529,26.332
4bkx_cleaned_1057_uff_E=62.72,-4.2,32.623,31.277
4bkx_cleaned_3764_uff_E=337.15,-6.2,0.0,0.0
4bkx_cleaned_3764_uff_E=337.15,-6.2,17.983,17.064
4bkx_cleaned_3764_uff_E=337.15,-6.0,7.497,4.641
4bkx_cleaned_3764_uff_E=337.15,-5.9,28.606,24.675
4bkx_cleaned_3764_uff_E=337.15,-5.9,2.315,1.628
4bkx_cleaned_3764_uff_E=337.15,-5.8,20.293,18.968
4bkx_cleaned_3764_uff_E=337.15,-5.7,17.978,17.041
4bkx_cleaned_3764_uff_E=337.15,-5.7,28.553,25.131
4bkx_cleaned_3764_uff_E=337.15,-5.7,20.46,17.917
4bkx_cleaned_4276_uff_E=330.81,-5.0,0.0,0.0
4bkx_cleaned_4276_uff_E=330.81,-4.9,19.049,17.888
4bkx_cleaned_4276_uff_E=330.81,-4.8,18.386,17.346
4bkx_cleaned_4276_uff_E=330.81,-4.8,25.521,23.31
4bkx_cleaned_4276_uff_E=330.81,-4.7,4.264,3.891
4bkx_cleaned_4276_uff_E=330.81,-4.7,19.0,17.54
4bkx_cleaned_4276_uff_E=330.81,-4.7,21.088,19.577
4bkx_cleaned_4276_uff_E=330.81,-4.6,4.44,3.243
4bkx_cleaned_4276_uff_E=330.81,-4.6,22.571,20.523
4bkx_cleaned_5997_uff_E=549.32,-6.8,0.0,0.0
4bkx_cleaned_5997_uff_E=549.32,-6.8,8.669,3.171
4bkx_cleaned_5997_uff_E=549.32,-6.7,2.834,1.555
4bkx_cleaned_5997_uff_E=549.32,-6.5,8.627,4.725
4bkx_cleaned_5997_uff_E=549.32,-6.5,3.418,1.574
4bkx_cleaned_5997_uff_E=549.32,-6.5,21.873,18.775
4bkx_cleaned_5997_uff_E=549.32,-6.5,9.47,6.966
4bkx_cleaned_5997_uff_E=549.32,-6.5,8.426,3.83
4bkx_cleaned_5997_uff_E=549.32,-6.5,17.874,14.891
4bkx_cleaned_6613_uff_E=133.81,-5.0,0.0,0.0
4bkx_cleaned_6613_uff_E=133.81,-4.8,32.797,30.245
4bkx_cleaned_6613_uff_E=133.81,-4.8,2.59,2.31
4bkx_cleaned_6613_uff_E=133.81,-4.7,33.99,32.914
4bkx_cleaned_6613_uff_E=133.81,-4.7,5.58,1.265
4bkx_cleaned_6613_uff_E=133.81,-4.6,32.916,30.476
4bkx_cleaned_6613_uff_E=133.81,-4.6,18.958,16.942
4bkx_cleaned_6613_uff_E=133.81,-4.6,3.75,2.519
4bkx_cleaned_6613_uff_E=133.81,-4.5,2.099,1.496
4bkx_cleaned_6989_uff_E=95.97,-5.5,0.0,0.0
4bkx_cleaned_6989_uff_E=95.97,-5.2,4.142,2.284
4bkx_cleaned_6989_uff_E=95.97,-5.2,2.41,1.656
4bkx_cleaned_6989_uff_E=95.97,-5.0,4.154,2.356
4bkx_cleaned_6989_uff_E=95.97,-4.8,32.762,31.811
4bkx_cleaned_6989_uff_E=95.97,-4.8,36.992,35.83
4bkx_cleaned_6989_uff_E=95.97,-4.8,3.041,2.095
4bkx_cleaned_6989_uff_E=95.97,-4.8,36.977,35.813
4bkx_cleaned_6989_uff_E=95.97,-4.7,32.503,31.515
4bkx_cleaned_7463_uff_E=91.91,-5.6,0.0,0.0
4bkx_cleaned_7463_uff_E=91.91,-5.2,4.233,2.03
4bkx_cleaned_7463_uff_E=91.91,-5.1,3.268,1.924
4bkx_cleaned_7463_uff_E=91.91,-5.1,1.917,1.497
4bkx_cleaned_7463_uff_E=91.91,-4.6,17.916,17.497
4bkx_cleaned_7463_uff_E=91.91,-4.5,32.6,31.758
4bkx_cleaned_7463_uff_E=91.91,-4.5,15.267,14.434
4bkx_cleaned_7463_uff_E=91.91,-4.4,22.014,20.89
4bkx_cleaned_7463_uff_E=91.91,-4.4,19.121,17.902
4bkx_cleaned_8174_uff_E=44.04,-4.2,0.0,0.0
4bkx_cleaned_8174_uff_E=44.04,-4.1,3.398,2.285
4bkx_cleaned_8174_uff_E=44.04,-4.0,5.317,2.91
4bkx_cleaned_8174_uff_E=44.04,-4.0,5.365,2.575
4bkx_cleaned_8174_uff_E=44.04,-3.9,5.891,4.099
4bkx_cleaned_8174_uff_E=44.04,-3.7,6.301,5.072
4bkx_cleaned_8174_uff_E=44.04,-3.7,30.395,28.414
4bkx_cleaned_8174_uff_E=44.04,-3.7,30.871,28.424
4bkx_cleaned_8174_uff_E=44.04,-3.7,31.528,30.28
4bkx_cleaned_8175_uff_E=34.10,-4.0,0.0,0.0
4bkx_cleaned_8175_uff_E=34.10,-3.9,3.697,2.149
4bkx_cleaned_8175_uff_E=34.10,-3.9,5.474,3.828
4bkx_cleaned_8175_uff_E=34.10,-3.8,5.257,2.663
4bkx_cleaned_8175_uff_E=34.10,-3.8,4.598,3.011
4bkx_cleaned_8175_uff_E=34.10,-3.8,18.419,15.892
4bkx_cleaned_8175_uff_E=34.10,-3.7,5.449,2.814
4bkx_cleaned_8175_uff_E=34.10,-3.7,5.822,2.844
4bkx_cleaned_8175_uff_E=34.10,-3.6,30.87,28.548
4bkx_cleaned_10248_uff_E=228.13,-5.2,0.0,0.0
4bkx_cleaned_10248_uff_E=228.13,-5.1,3.28,0.277
4bkx_cleaned_10248_uff_E=228.13,-4.9,3.589,2.441
4bkx_cleaned_10248_uff_E=228.13,-4.6,3.427,2.409
4bkx_cleaned_10248_uff_E=228.13,-4.4,22.122,20.126
4bkx_cleaned_10248_uff_E=228.13,-4.4,22.068,20.289
4bkx_cleaned_10248_uff_E=228.13,-4.4,23.01,20.187
4bkx_cleaned_10248_uff_E=228.13,-4.3,32.839,30.574
4bkx_cleaned_10248_uff_E=228.13,-4.3,22.653,20.562
4bkx_cleaned_10364_uff_E=78.47,-5.3,0.0,0.0
4bkx_cleaned_10364_uff_E=78.47,-5.3,3.868,1.699
4bkx_cleaned_10364_uff_E=78.47,-5.2,1.959,1.72
4bkx_cleaned_10364_uff_E=78.47,-5.1,4.658,2.089
4bkx_cleaned_10364_uff_E=78.47,-5.1,1.797,1.664
4bkx_cleaned_10364_uff_E=78.47,-4.8,18.808,17.814
4bkx_cleaned_10364_uff_E=78.47,-4.8,18.557,17.263
4bkx_cleaned_10364_uff_E=78.47,-4.8,17.484,16.188
4bkx_cleaned_10364_uff_E=78.47,-4.7,25.406,23.217
4bkx_cleaned_17697_uff_E=50.62,-4.0,0.0,0.0
4bkx_cleaned_17697_uff_E=50.62,-3.7,33.429,30.702
4bkx_cleaned_17697_uff_E=50.62,-3.6,5.457,3.562
4bkx_cleaned_17697_uff_E=50.62,-3.6,22.232,20.29
4bkx_cleaned_17697_uff_E=50.62,-3.6,22.928,20.564
4bkx_cleaned_17697_uff_E=50.62,-3.5,20.166,17.752
4bkx_cleaned_17697_uff_E=50.62,-3.5,3.903,3.069
4bkx_cleaned_17697_uff_E=50.62,-3.5,33.362,30.354
4bkx_cleaned_17697_uff_E=50.62,-3.5,21.756,19.776
4bkx_cleaned_79036_uff_E=108.75,-5.4,0.0,0.0
4bkx_cleaned_79036_uff_E=108.75,-4.9,3.008,2.029
4bkx_cleaned_79036_uff_E=108.75,-4.8,4.284,2.427
4bkx_cleaned_79036_uff_E=108.75,-4.7,37.259,35.974
4bkx_cleaned_79036_uff_E=108.75,-4.7,2.114,1.553
4bkx_cleaned_79036_uff_E=108.75,-4.7,37.43,36.269
4bkx_cleaned_79036_uff_E=108.75,-4.6,37.294,36.247
4bkx_cleaned_79036_uff_E=108.75,-4.5,19.367,18.099
4bkx_cleaned_79036_uff_E=108.75,-4.5,4.243,1.845
4bkx_cleaned_92759_uff_E=201.39,-5.8,0.0,0.0
4bkx_cleaned_92759_uff_E=201.39,-5.8,4.769,0.086
4bkx_cleaned_92759_uff_E=201.39,-5.8,4.164,2.029
4bkx_cleaned_92759_uff_E=201.39,-5.7,33.604,31.011
4bkx_cleaned_92759_uff_E=201.39,-5.7,33.673,31.066
4bkx_cleaned_92759_uff_E=201.39,-5.4,19.275,16.699
4bkx_cleaned_92759_uff_E=201.39,-5.3,3.591,1.696
4bkx_cleaned_92759_uff_E=201.39,-5.3,4.611,1.695
4bkx_cleaned_92759_uff_E=201.39,-5.3,19.919,17.119
4bkx_cleaned_99474_uff_E=741.60,-8.1,0.0,0.0
4bkx_cleaned_99474_uff_E=741.60,-7.8,21.269,18.953
4bkx_cleaned_99474_uff_E=741.60,-7.6,11.003,6.892
4bkx_cleaned_99474_uff_E=741.60,-7.5,38.948,33.247
4bkx_cleaned_99474_uff_E=741.60,-7.4,17.253,14.686
4bkx_cleaned_99474_uff_E=741.60,-7.4,11.334,6.413
4bkx_cleaned_99474_uff_E=741.60,-7.2,22.84,19.77
4bkx_cleaned_99474_uff_E=741.60,-7.2,18.759,15.095
4bkx_cleaned_99474_uff_E=741.60,-7.1,17.721,14.45
4bkx_cleaned_114776_uff_E=472.96,-6.8,0.0,0.0
4bkx_cleaned_114776_uff_E=472.96,-6.6,24.899,20.067
4bkx_cleaned_114776_uff_E=472.96,-6.5,33.22,30.671
4bkx_cleaned_114776_uff_E=472.96,-6.5,24.519,22.5
4bkx_cleaned_114776_uff_E=472.96,-6.5,34.022,32.496
4bkx_cleaned_114776_uff_E=472.96,-6.4,5.607,2.68
4bkx_cleaned_114776_uff_E=472.96,-6.4,16.332,13.158
4bkx_cleaned_114776_uff_E=472.96,-6.4,25.918,21.019
4bkx_cleaned_114776_uff_E=472.96,-6.4,31.015,28.936
4bkx_cleaned_114829_uff_E=185.86,-6.5,0.0,0.0
4bkx_cleaned_114829_uff_E=185.86,-6.5,18.873,17.934
4bkx_cleaned_114829_uff_E=185.86,-6.3,25.162,23.824
4bkx_cleaned_114829_uff_E=185.86,-6.2,3.246,1.604
4bkx_cleaned_114829_uff_E=185.86,-6.2,2.175,1.841
4bkx_cleaned_114829_uff_E=185.86,-6.2,35.6,33.644
4bkx_cleaned_114829_uff_E=185.86,-6.1,34.669,32.524
4bkx_cleaned_114829_uff_E=185.86,-6.1,19.05,17.78
4bkx_cleaned_114829_uff_E=185.86,-6.1,33.896,32.18
4bkx_cleaned_162350_uff_E=453.84,-7.0,0.0,0.0
4bkx_cleaned_162350_uff_E=453.84,-6.9,2.578,2.135
4bkx_cleaned_162350_uff_E=453.84,-6.6,9.396,2.039
4bkx_cleaned_162350_uff_E=453.84,-6.6,9.557,1.628
4bkx_cleaned_162350_uff_E=453.84,-6.5,25.061,21.015
4bkx_cleaned_162350_uff_E=453.84,-6.5,13.371,7.639
4bkx_cleaned_162350_uff_E=453.84,-6.4,30.807,27.036
4bkx_cleaned_162350_uff_E=453.84,-6.4,25.386,22.528
4bkx_cleaned_162350_uff_E=453.84,-6.4,30.713,26.923
4bkx_cleaned_171548_uff_E=328.21,-4.9,0.0,0.0
4bkx_cleaned_171548_uff_E=328.21,-4.7,32.537,31.217
4bkx_cleaned_171548_uff_E=328.21,-4.6,32.999,31.86
4bkx_cleaned_171548_uff_E=328.21,-4.5,37.639,36.159
4bkx_cleaned_171548_uff_E=328.21,-4.5,3.359,2.806
4bkx_cleaned_171548_uff_E=328.21,-4.5,22.904,20.717
4bkx_cleaned_171548_uff_E=328.21,-4.4,20.237,18.4
4bkx_cleaned_171548_uff_E=328.21,-4.4,21.663,19.812
4bkx_cleaned_171548_uff_E=328.21,-4.3,36.365,34.889
4bkx_cleaned_439246_uff_E=195.81,-6.6,0.0,0.0
4bkx_cleaned_439246_uff_E=195.81,-6.3,19.396,17.851
4bkx_cleaned_439246_uff_E=195.81,-6.3,23.662,20.922
