Ligand,Binding Affinity,rmsd/ub, rmsd/lb
8q9r_cleaned_289_uff_E=55.42,-3.9,0.0,0.0
8q9r_cleaned_289_uff_E=55.42,-3.9,2.21,0.125
8q9r_cleaned_289_uff_E=55.42,-3.8,2.382,1.041
8q9r_cleaned_289_uff_E=55.42,-3.8,32.949,32.1
8q9r_cleaned_289_uff_E=55.42,-3.7,13.651,12.549
8q9r_cleaned_289_uff_E=55.42,-3.7,13.606,12.354
8q9r_cleaned_289_uff_E=55.42,-3.6,26.434,25.436
8q9r_cleaned_289_uff_E=55.42,-3.4,2.4,1.138
8q9r_cleaned_289_uff_E=55.42,-3.3,2.739,2.164
8q9r_cleaned_892_uff_E=156.51,-4.1,0.0,0.0
8q9r_cleaned_892_uff_E=156.51,-4.1,23.4,21.665
8q9r_cleaned_892_uff_E=156.51,-4.1,28.946,27.634
8q9r_cleaned_892_uff_E=156.51,-4.1,9.656,8.601
8q9r_cleaned_892_uff_E=156.51,-4.1,29.167,27.84
8q9r_cleaned_892_uff_E=156.51,-4.0,29.066,27.758
8q9r_cleaned_892_uff_E=156.51,-3.9,9.785,8.797
8q9r_cleaned_892_uff_E=156.51,-3.9,9.671,8.687
8q9r_cleaned_892_uff_E=156.51,-3.9,29.094,27.773
8q9r_cleaned_938_uff_E=58.73,-4.0,0.0,0.0
8q9r_cleaned_938_uff_E=58.73,-3.9,4.199,3.498
8q9r_cleaned_938_uff_E=58.73,-3.8,22.691,21.893
8q9r_cleaned_938_uff_E=58.73,-3.8,26.867,26.28
8q9r_cleaned_938_uff_E=58.73,-3.8,26.122,25.672
8q9r_cleaned_938_uff_E=58.73,-3.8,2.088,1.803
8q9r_cleaned_938_uff_E=58.73,-3.7,26.898,26.292
8q9r_cleaned_938_uff_E=58.73,-3.7,24.856,24.346
8q9r_cleaned_938_uff_E=58.73,-3.5,21.238,20.782
8q9r_cleaned_985_uff_E=57.46,-4.2,0.0,0.0
8q9r_cleaned_985_uff_E=57.46,-4.2,21.421,18.281
8q9r_cleaned_985_uff_E=57.46,-4.2,4.886,2.825
8q9r_cleaned_985_uff_E=57.46,-4.1,23.051,19.996
8q9r_cleaned_985_uff_E=57.46,-4.1,23.848,21.04
8q9r_cleaned_985_uff_E=57.46,-4.0,5.566,3.067
8q9r_cleaned_985_uff_E=57.46,-4.0,18.735,15.285
8q9r_cleaned_985_uff_E=57.46,-4.0,4.888,3.036
8q9r_cleaned_985_uff_E=57.46,-4.0,23.296,20.374
