Ligand,Binding Affinity,rmsd/ub, rmsd/lb
6049c7bc34a5773a_289_uff_E=55.42,-4.5,0.0,0.0
6049c7bc34a5773a_892_uff_E=156.51,-5.0,0.0,0.0
6049c7bc34a5773a_938_uff_E=58.73,-4.8,0.0,0.0
6049c7bc34a5773a_985_uff_E=57.46,-4.4,0.0,0.0
6049c7bc34a5773a_1054_uff_E=125.61,-5.2,0.0,0.0
6049c7bc34a5773a_1057_uff_E=62.72,-5.3,0.0,0.0
6049c7bc34a5773a_3764_uff_E=337.15,-5.9,0.0,0.0
6049c7bc34a5773a_4276_uff_E=330.81,-5.6,0.0,0.0
6049c7bc34a5773a_5997_uff_E=549.32,-7.1,0.0,0.0
6049c7bc34a5773a_6613_uff_E=133.81,-4.7,0.0,0.0
6049c7bc34a5773a_6989_uff_E=95.97,-5.0,0.0,0.0
6049c7bc34a5773a_7463_uff_E=91.91,-5.0,0.0,0.0
6049c7bc34a5773a_8174_uff_E=44.04,-4.0,0.0,0.0
6049c7bc34a5773a_8175_uff_E=34.10,-3.5,0.0,0.0
6049c7bc34a5773a_10248_uff_E=228.13,-5.0,0.0,0.0
6049c7bc34a5773a_10364_uff_E=78.47,-5.2,0.0,0.0
6049c7bc34a5773a_17697_uff_E=50.62,-4.4,0.0,0.0
6049c7bc34a5773a_79036_uff_E=108.75,-4.7,0.0,0.0
6049c7bc34a5773a_92759_uff_E=201.39,-5.6,0.0,0.0
6049c7bc34a5773a_99474_uff_E=741.60,-7.9,0.0,0.0
6049c7bc34a5773a_114776_uff_E=472.96,-7.1,0.0,0.0
6049c7bc34a5773a_114829_uff_E=185.86,-6.9,0.0,0.0
6049c7bc34a5773a_162350_uff_E=453.84,-7.0,0.0,0.0
6049c7bc34a5773a_171548_uff_E=328.21,-5.2,0.0,0.0
6049c7bc34a5773a_439246_uff_E=195.81,-6.7,0.0,0.0
6049c7bc34a5773a_441005_uff_E=241.83,-5.7,0.0,0.0
6049c7bc34a5773a_441900_uff_E=753.48,-8.0,0.0,0.0
6049c7bc34a5773a_442343_uff_E=218.81,-5.0,0.0,0.0
6049c7bc34a5773a_442428_uff_E=615.92,-7.7,0.0,0.0
6049c7bc34a5773a_444170_uff_E=1467.29,-7.3,0.0,0.0
6049c7bc34a5773a_493570_uff_E=317.94,-7.0,0.0,0.0
6049c7bc34a5773a_519857_uff_E=221.98,-5.6,0.0,0.0
6049c7bc34a5773a_638278_uff_E=312.87,-6.3,0.0,0.0
6049c7bc34a5773a_2773624_uff_E=102.68,-4.7,0.0,0.0
6049c7bc34a5773a_5280343_uff_E=380.43,-7.4,0.0,0.0
6049c7bc34a5773a_5280443_uff_E=233.26,-6.7,0.0,0.0
6049c7bc34a5773a_5280445_uff_E=242.10,-7.3,0.0,0.0
6049c7bc34a5773a_5280459_uff_E=587.34,-7.1,0.0,0.0
6049c7bc34a5773a_5280863_uff_E=362.50,-7.3,0.0,0.0
6049c7bc34a5773a_5283361_uff_E=38.25,-3.8,0.0,0.0
6049c7bc34a5773a_6429300_uff_E=512.64,-5.8,0.0,0.0
6049c7bc34a5773a_6432005_uff_E=264.33,-6.2,0.0,0.0
6049c7bc34a5773a_6857447_uff_E=255.66,-5.0,0.0,0.0
6049c7bc34a5773a_10398656_uff_E=220.84,-5.8,0.0,0.0
6049c7bc34a5773a_12267346_uff_E=156.43,-6.5,0.0,0.0
6049c7bc34a5773a_12306047_uff_E=224.98,-5.4,0.0,0.0
6049c7bc34a5773a_54670067_uff_E=200.65,-5.0,0.0,0.0
6049c7bc34a5773a_91753440_uff_E=234.14,-5.7,0.0,0.0
6049c7bc34a5773a_101422334_uff_E=527.08,-7.0,0.0,0.0
6049c7bc34a5773a_135398658_uff_E=289.04,-7.4,0.0,0.0
6049c7bc34a5773a_4261_uff_E=349.41,-6.9,0.0,0.0
6049c7bc34a5773a_5311_uff_E=163.61,-5.3,0.0,0.0
6049c7bc34a5773a_104775_uff_E=39.87,-3.8,0.0,0.0
6049c7bc34a5773a_444732_uff_E=222.07,-6.1,0.0,0.0
6049c7bc34a5773a_5352062_uff_E=553.03,-8.0,0.0,0.0
6049c7bc34a5773a_5353852_uff_E=728.01,-6.8,0.0,0.0
6049c7bc34a5773a_6445533_uff_E=479.99,-4.8,0.0,0.0
6049c7bc34a5773a_6918638_uff_E=592.04,-6.2,0.0,0.0
6049c7bc34a5773a_6918837_uff_E=454.67,-6.9,0.0,0.0
6049c7bc34a5773a_9800555_uff_E=356.53,-7.3,0.0,0.0
6049c7bc34a5773a_12136798_uff_E=359.23,-7.7,0.0,0.0
