Ligand,Binding Affinity,rmsd/ub, rmsd/lb
1vkg_cleaned_892_uff_E=156.51,-5.4,0.0,0.0
1vkg_cleaned_892_uff_E=156.51,-5.2,3.072,1.12
1vkg_cleaned_892_uff_E=156.51,-5.1,3.188,1.593
1vkg_cleaned_892_uff_E=156.51,-4.8,3.288,1.509
1vkg_cleaned_892_uff_E=156.51,-4.8,2.51,1.962
1vkg_cleaned_892_uff_E=156.51,-4.6,20.921,19.545
1vkg_cleaned_892_uff_E=156.51,-4.5,20.792,19.411
1vkg_cleaned_892_uff_E=156.51,-4.3,6.278,3.933
1vkg_cleaned_892_uff_E=156.51,-4.3,22.921,21.185
1vkg_cleaned_289_uff_E=55.42,-4.3,0.0,0.0
1vkg_cleaned_289_uff_E=55.42,-4.3,2.21,0.21
1vkg_cleaned_289_uff_E=55.42,-4.3,27.587,26.761
1vkg_cleaned_289_uff_E=55.42,-4.3,32.157,31.173
1vkg_cleaned_289_uff_E=55.42,-4.2,2.158,1.447
1vkg_cleaned_289_uff_E=55.42,-4.1,21.177,19.952
1vkg_cleaned_289_uff_E=55.42,-4.0,40.044,39.162
1vkg_cleaned_289_uff_E=55.42,-4.0,40.069,39.16
1vkg_cleaned_289_uff_E=55.42,-3.9,19.926,19.465
1vkg_cleaned_938_uff_E=58.73,-4.5,0.0,0.0
1vkg_cleaned_938_uff_E=58.73,-4.1,16.425,15.571
1vkg_cleaned_938_uff_E=58.73,-4.0,24.41,23.532
1vkg_cleaned_938_uff_E=58.73,-4.0,5.639,4.436
1vkg_cleaned_938_uff_E=58.73,-3.9,16.562,16.439
1vkg_cleaned_938_uff_E=58.73,-3.9,25.722,25.119
1vkg_cleaned_938_uff_E=58.73,-3.8,36.535,35.984
1vkg_cleaned_938_uff_E=58.73,-3.8,3.123,2.495
1vkg_cleaned_938_uff_E=58.73,-3.8,11.58,11.016
1vkg_cleaned_985_uff_E=57.46,-5.1,0.0,0.0
1vkg_cleaned_985_uff_E=57.46,-4.6,7.135,3.654
1vkg_cleaned_985_uff_E=57.46,-4.1,30.861,29.208
1vkg_cleaned_985_uff_E=57.46,-4.1,25.053,23.033
1vkg_cleaned_985_uff_E=57.46,-4.1,9.007,5.813
1vkg_cleaned_985_uff_E=57.46,-4.1,7.507,3.977
1vkg_cleaned_985_uff_E=57.46,-4.1,31.272,28.798
1vkg_cleaned_985_uff_E=57.46,-4.0,6.539,3.381
1vkg_cleaned_985_uff_E=57.46,-4.0,25.807,23.697
1vkg_cleaned_1054_uff_E=125.61,-4.7,0.0,0.0
1vkg_cleaned_1054_uff_E=125.61,-4.7,3.695,2.421
1vkg_cleaned_1054_uff_E=125.61,-4.6,4.298,3.437
1vkg_cleaned_1054_uff_E=125.61,-4.6,3.018,1.851
1vkg_cleaned_1054_uff_E=125.61,-4.6,17.483,16.118
1vkg_cleaned_1054_uff_E=125.61,-4.5,26.682,24.895
1vkg_cleaned_1054_uff_E=125.61,-4.2,5.086,3.675
1vkg_cleaned_1054_uff_E=125.61,-4.1,19.542,17.904
1vkg_cleaned_1054_uff_E=125.61,-4.0,25.604,24.674
1vkg_cleaned_1057_uff_E=62.72,-4.8,0.0,0.0
1vkg_cleaned_1057_uff_E=62.72,-4.5,32.195,31.368
1vkg_cleaned_1057_uff_E=62.72,-4.3,37.765,36.619
1vkg_cleaned_1057_uff_E=62.72,-4.3,37.824,36.62
1vkg_cleaned_1057_uff_E=62.72,-4.2,46.019,45.331
1vkg_cleaned_1057_uff_E=62.72,-4.2,46.067,45.409
1vkg_cleaned_1057_uff_E=62.72,-4.1,2.071,1.704
1vkg_cleaned_1057_uff_E=62.72,-4.1,40.071,39.0
1vkg_cleaned_1057_uff_E=62.72,-4.1,20.016,19.384
1vkg_cleaned_3764_uff_E=337.15,-6.1,0.0,0.0
1vkg_cleaned_3764_uff_E=337.15,-5.7,28.45,27.435
1vkg_cleaned_3764_uff_E=337.15,-5.7,28.895,27.348
1vkg_cleaned_3764_uff_E=337.15,-5.6,27.819,26.065
1vkg_cleaned_3764_uff_E=337.15,-5.6,31.856,30.699
1vkg_cleaned_3764_uff_E=337.15,-5.5,26.757,25.182
1vkg_cleaned_3764_uff_E=337.15,-5.4,48.655,47.424
1vkg_cleaned_3764_uff_E=337.15,-5.4,29.818,28.617
1vkg_cleaned_3764_uff_E=337.15,-5.4,20.582,18.821
1vkg_cleaned_4276_uff_E=330.81,-5.6,0.0,0.0
1vkg_cleaned_4276_uff_E=330.81,-5.5,9.944,8.403
1vkg_cleaned_4276_uff_E=330.81,-5.2,10.755,9.162
1vkg_cleaned_4276_uff_E=330.81,-4.7,32.338,30.849
1vkg_cleaned_4276_uff_E=330.81,-4.7,25.961,24.669
1vkg_cleaned_4276_uff_E=330.81,-4.5,14.356,11.904
1vkg_cleaned_4276_uff_E=330.81,-4.5,27.532,25.2
1vkg_cleaned_4276_uff_E=330.81,-4.4,19.166,18.795
1vkg_cleaned_4276_uff_E=330.81,-4.4,32.198,31.046
1vkg_cleaned_5997_uff_E=549.32,-8.8,0.0,0.0
1vkg_cleaned_5997_uff_E=549.32,-8.4,8.909,3.653
1vkg_cleaned_5997_uff_E=549.32,-7.9,7.416,4.402
1vkg_cleaned_5997_uff_E=549.32,-7.2,8.363,3.222
1vkg_cleaned_5997_uff_E=549.32,-7.0,27.056,23.658
1vkg_cleaned_5997_uff_E=549.32,-6.9,31.735,29.06
1vkg_cleaned_5997_uff_E=549.32,-6.9,9.113,6.501
1vkg_cleaned_5997_uff_E=549.32,-6.7,31.903,29.162
1vkg_cleaned_5997_uff_E=549.32,-6.5,30.141,26.699
1vkg_cleaned_6613_uff_E=133.81,-5.0,0.0,0.0
1vkg_cleaned_6613_uff_E=133.81,-4.7,2.806,2.207
1vkg_cleaned_6613_uff_E=133.81,-4.6,36.719,35.904
1vkg_cleaned_6613_uff_E=133.81,-4.5,39.922,38.9
1vkg_cleaned_6613_uff_E=133.81,-4.4,3.566,2.398
1vkg_cleaned_6613_uff_E=133.81,-4.4,5.508,4.051
1vkg_cleaned_6613_uff_E=133.81,-4.3,38.094,37.096
1vkg_cleaned_6613_uff_E=133.81,-4.2,27.219,25.711
1vkg_cleaned_6613_uff_E=133.81,-4.1,21.65,19.998
1vkg_cleaned_6989_uff_E=95.97,-5.4,0.0,0.0
1vkg_cleaned_6989_uff_E=95.97,-5.3,6.846,5.99
1vkg_cleaned_6989_uff_E=95.97,-5.3,4.137,1.231
1vkg_cleaned_6989_uff_E=95.97,-5.1,4.007,2.968
1vkg_cleaned_6989_uff_E=95.97,-5.0,11.458,10.364
1vkg_cleaned_6989_uff_E=95.97,-5.0,2.947,1.948
1vkg_cleaned_6989_uff_E=95.97,-4.9,5.04,3.355
1vkg_cleaned_6989_uff_E=95.97,-4.6,3.932,3.036
1vkg_cleaned_6989_uff_E=95.97,-4.5,20.186,18.495
1vkg_cleaned_7463_uff_E=91.91,-5.3,0.0,0.0
1vkg_cleaned_7463_uff_E=91.91,-5.2,4.441,2.218
1vkg_cleaned_7463_uff_E=91.91,-5.1,2.718,1.696
1vkg_cleaned_7463_uff_E=91.91,-5.1,19.178,16.348
1vkg_cleaned_7463_uff_E=91.91,-5.0,9.267,7.18
1vkg_cleaned_7463_uff_E=91.91,-4.9,28.101,26.788
1vkg_cleaned_7463_uff_E=91.91,-4.6,29.482,28.384
1vkg_cleaned_7463_uff_E=91.91,-4.5,4.929,1.991
1vkg_cleaned_7463_uff_E=91.91,-4.4,10.749,8.938
1vkg_cleaned_8174_uff_E=44.04,-4.2,0.0,0.0
1vkg_cleaned_8174_uff_E=44.04,-3.9,26.826,24.855
1vkg_cleaned_8174_uff_E=44.04,-3.8,6.56,4.626
1vkg_cleaned_8174_uff_E=44.04,-3.7,26.122,24.737
1vkg_cleaned_8174_uff_E=44.04,-3.6,21.909,19.66
1vkg_cleaned_8174_uff_E=44.04,-3.6,28.241,26.374
1vkg_cleaned_8174_uff_E=44.04,-3.5,14.702,13.653
1vkg_cleaned_8174_uff_E=44.04,-3.5,15.843,13.943
1vkg_cleaned_8174_uff_E=44.04,-3.5,37.253,35.475
1vkg_cleaned_8175_uff_E=34.10,-4.4,0.0,0.0
1vkg_cleaned_8175_uff_E=34.10,-4.3,4.564,3.39
1vkg_cleaned_8175_uff_E=34.10,-4.2,4.542,3.3
1vkg_cleaned_8175_uff_E=34.10,-4.1,5.369,3.775
1vkg_cleaned_8175_uff_E=34.10,-4.1,2.512,1.915
1vkg_cleaned_8175_uff_E=34.10,-3.9,5.764,3.443
1vkg_cleaned_8175_uff_E=34.10,-3.9,23.856,22.66
1vkg_cleaned_8175_uff_E=34.10,-3.9,16.71,15.497
1vkg_cleaned_8175_uff_E=34.10,-3.8,6.288,3.681
1vkg_cleaned_10248_uff_E=228.13,-5.4,0.0,0.0
1vkg_cleaned_10248_uff_E=228.13,-4.9,3.277,2.258
1vkg_cleaned_10248_uff_E=228.13,-4.5,26.815,23.842
1vkg_cleaned_10248_uff_E=228.13,-4.4,24.113,22.03
1vkg_cleaned_10248_uff_E=228.13,-4.3,26.409,23.122
1vkg_cleaned_10248_uff_E=228.13,-4.3,28.496,27.571
1vkg_cleaned_10248_uff_E=228.13,-4.3,18.207,15.798
1vkg_cleaned_10248_uff_E=228.13,-4.3,27.176,24.74
1vkg_cleaned_10248_uff_E=228.13,-4.2,27.34,24.916
1vkg_cleaned_10364_uff_E=78.47,-5.5,0.0,0.0
1vkg_cleaned_10364_uff_E=78.47,-5.4,4.99,3.034
1vkg_cleaned_10364_uff_E=78.47,-5.1,29.227,26.325
1vkg_cleaned_10364_uff_E=78.47,-5.0,7.516,5.626
1vkg_cleaned_10364_uff_E=78.47,-5.0,5.513,3.836
1vkg_cleaned_10364_uff_E=78.47,-4.9,8.048,5.997
