binding_affinity_file_1,binding_affinity_file_2,binding_affinity_file_3,average_binding_affinity
-4.8,-4.8,-5.4,-5.0
-4.7,-4.7,-4.3,-4.566666666666666
-4.5,-4.5,-4.5,-4.5
-5.3,-5.3,-5.1,-5.233333333333333
-5.0,-5.0,-4.7,-4.8999999999999995
-4.8,-4.8,-4.8,-4.8
-7.5,-7.5,-6.1,-7.033333333333334
-6.2,-6.2,-5.6,-6.0
-9.5,-9.5,-8.8,-9.266666666666667
-5.3,-5.3,-5.0,-5.2
-5.4,-5.4,-5.4,-5.400000000000001
-5.3,-5.3,-5.3,-5.3
-4.7,-4.7,-4.2,-4.533333333333334
-4.5,-4.5,-4.4,-4.466666666666667
-6.1,-6.1,-5.4,-5.866666666666667
-5.5,-5.5,-5.5,-5.5
-5.2,-5.2,-4.7,-5.033333333333334
-5.1,-5.1,-5.6,-5.266666666666667
-6.2,-6.2,-6.0,-6.133333333333333
-9.6,-9.6,-9.5,-9.566666666666666
-7.8,-7.8,-6.8,-7.466666666666666
-8.1,-8.1,-8.1,-8.1
-7.7,-7.7,-7.3,-7.566666666666666
-5.5,-5.5,-5.3,-5.433333333333334
-8.0,-8.0,-8.0,-8.0
-7.1,-7.1,-6.8,-7.0
-9.0,-9.0,-8.9,-8.966666666666667
-6.9,-6.9,-6.9,-6.900000000000001
-8.1,-8.1,-8.1,-8.1
-7.8,-7.8,-7.4,-7.666666666666667
-8.0,-8.0,-6.9,-7.633333333333333
-7.3,-7.3,-7.3,-7.3
-7.2,-7.2,-7.3,-7.233333333333333
-4.3,-4.3,-4.3,-4.3
-7.6,-7.6,-7.6,-7.599999999999999
-7.9,-7.9,-7.9,-7.900000000000001
-7.6,-7.6,-7.6,-7.599999999999999
-7.6,-7.6,-7.6,-7.599999999999999
-7.2,-7.2,-7.7,-7.366666666666667
-5.1,-5.1,-3.8,-4.666666666666667
-7.2,-7.2,-7.2,-7.2
-7.3,-7.3,-6.6,-7.066666666666666
-7.6,-7.6,-5.6,-6.933333333333333
-7.4,-7.4,-6.8,-7.2
-7.2,-7.2,-5.9,-6.766666666666667
-6.9,-6.9,-6.9,-6.900000000000001
-5.1,-5.1,-4.7,-4.966666666666666
-7.1,-7.1,-7.1,-7.099999999999999
-8.7,-8.7,-8.5,-8.633333333333333
-8.2,-8.2,-8.1,-8.166666666666666
-8.3,-8.3,-8.1,-8.233333333333334
-6.5,-6.5,-6.4,-6.466666666666666
-4.7,-4.7,-3.5,-4.3
-7.1,-7.1,-6.0,-6.733333333333333
-7.9,-7.9,-6.7,-7.5
-7.8,-7.8,-6.9,-7.5
-7.7,-7.7,-7.3,-7.566666666666666
-8.6,-8.6,-7.6,-8.266666666666666
-8.3,-8.3,-5.6,-7.400000000000001
-8.1,-8.1,-7.8,-8.0
-8.3,-8.3,-8.5,-8.366666666666667
