Ligand,Binding Affinity,rmsd_ub, rmsd_lb
5edp_289_uff_E=55.42,-4.9,0,0
5edp_892_uff_E=156.51,-5.6,0,0
5edp_938_uff_E=58.73,-4.8,0,0
5edp_985_uff_E=57.46,-4.9,0,0
5edp_1054_uff_E=125.61,-4.8,0,0
5edp_1057_uff_E=62.72,-4.8,0,0
5edp_3764_uff_E=337.15,-6.5,0,0
5edp_4276_uff_E=330.81,-5,0,0
5edp_5997_uff_E=549.32,-7.7,0,0
5edp_6613_uff_E=133.81,-4.7,0,0
5edp_6989_uff_E=95.97,-5.2,0,0
5edp_7463_uff_E=91.91,-5,0,0
5edp_8174_uff_E=44.04,-4.4,0,0
5edp_8175_uff_E=34.10,-4.2,0,0
5edp_10248_uff_E=228.13,-5,0,0
5edp_10364_uff_E=78.47,-5.3,0,0
5edp_17697_uff_E=50.62,-3.7,0,0
5edp_79036_uff_E=108.75,-5.1,0,0
5edp_92759_uff_E=201.39,-6.3,0,0
5edp_99474_uff_E=741.60,-9.3,0,0
5edp_114776_uff_E=472.96,-7.6,0,0
5edp_114829_uff_E=185.86,-6.9,0,0
5edp_123631_uff_E=518.86,-7.5,0,0
5edp_162350_uff_E=453.84,-7.4,0,0
5edp_171548_uff_E=328.21,-5.3,0,0
5edp_439246_uff_E=195.81,-7.1,0,0
5edp_441005_uff_E=241.83,-6.5,0,0
5edp_441900_uff_E=753.48,-9.2,0,0
5edp_442343_uff_E=218.81,-5.7,0,0
5edp_442428_uff_E=615.92,-8.2,0,0
5edp_444170_uff_E=1467.29,-6.8,0,0
5edp_493570_uff_E=317.94,-7.1,0,0
5edp_519857_uff_E=221.98,-6.2,0,0
5edp_638278_uff_E=312.87,-6.5,0,0
5edp_2773624_uff_E=102.68,-4.2,0,0
5edp_5280343_uff_E=380.43,-7.2,0,0
5edp_5280443_uff_E=233.26,-7.1,0,0
5edp_5280445_uff_E=242.10,-7.4,0,0
5edp_5280459_uff_E=587.34,-8.4,0,0
5edp_5280863_uff_E=362.50,-7.1,0,0
5edp_5283361_uff_E=38.25,-3.9,0,0
5edp_6429300_uff_E=512.64,-6.6,0,0
5edp_6432005_uff_E=264.33,-6.6,0,0
5edp_6857447_uff_E=255.66,-6.1,0,0
5edp_10398656_uff_E=220.84,-6.5,0,0
5edp_12267346_uff_E=156.43,-6.6,0,0
5edp_12306047_uff_E=224.98,-6,0,0
5edp_54670067_uff_E=200.65,-5.5,0,0
5edp_91753440_uff_E=234.14,-6.3,0,0
5edp_101422334_uff_E=527.08,-7.4,0,0
5edp_135398658_uff_E=289.04,-7.7,0,0
