Ligand,Binding Affinity,rmsd/ub, rmsd/lb
3c0z_cleaned_289_uff_E=55.42,-4.8,0.0,0.0
3c0z_cleaned_289_uff_E=55.42,-4.7,25.409,24.252
3c0z_cleaned_289_uff_E=55.42,-4.7,25.48,24.293
3c0z_cleaned_289_uff_E=55.42,-4.7,25.134,23.906
3c0z_cleaned_289_uff_E=55.42,-4.6,2.376,1.029
3c0z_cleaned_289_uff_E=55.42,-4.5,24.695,23.394
3c0z_cleaned_289_uff_E=55.42,-4.1,43.01,42.029
3c0z_cleaned_289_uff_E=55.42,-4.1,43.017,42.038
3c0z_cleaned_289_uff_E=55.42,-4.1,4.565,3.515
3c0z_cleaned_892_uff_E=156.51,-4.9,0.0,0.0
3c0z_cleaned_892_uff_E=156.51,-4.9,37.229,35.858
3c0z_cleaned_892_uff_E=156.51,-4.8,36.784,35.422
3c0z_cleaned_892_uff_E=156.51,-4.5,38.201,36.72
3c0z_cleaned_892_uff_E=156.51,-4.5,37.822,36.391
3c0z_cleaned_892_uff_E=156.51,-4.4,23.277,22.008
3c0z_cleaned_892_uff_E=156.51,-4.2,33.12,31.897
3c0z_cleaned_892_uff_E=156.51,-4.2,37.638,36.191
3c0z_cleaned_892_uff_E=156.51,-4.2,23.674,21.991
3c0z_cleaned_938_uff_E=58.73,-5.1,0.0,0.0
3c0z_cleaned_938_uff_E=58.73,-4.9,5.554,4.9
3c0z_cleaned_938_uff_E=58.73,-4.6,4.179,3.429
3c0z_cleaned_938_uff_E=58.73,-4.4,19.449,18.556
3c0z_cleaned_938_uff_E=58.73,-4.3,24.174,23.605
3c0z_cleaned_938_uff_E=58.73,-4.2,28.627,28.219
3c0z_cleaned_938_uff_E=58.73,-4.1,23.471,22.353
3c0z_cleaned_938_uff_E=58.73,-4.0,20.736,19.903
3c0z_cleaned_938_uff_E=58.73,-4.0,32.012,31.18
3c0z_cleaned_985_uff_E=57.46,-4.5,0.0,0.0
3c0z_cleaned_985_uff_E=57.46,-4.5,2.096,1.567
3c0z_cleaned_985_uff_E=57.46,-4.4,36.051,34.505
3c0z_cleaned_985_uff_E=57.46,-4.4,26.095,23.616
3c0z_cleaned_985_uff_E=57.46,-4.1,28.908,26.592
3c0z_cleaned_985_uff_E=57.46,-3.9,6.389,3.461
3c0z_cleaned_985_uff_E=57.46,-3.9,39.059,37.591
3c0z_cleaned_985_uff_E=57.46,-3.8,19.448,17.469
3c0z_cleaned_985_uff_E=57.46,-3.8,20.224,17.576
3c0z_cleaned_1054_uff_E=125.61,-4.7,0.0,0.0
3c0z_cleaned_1054_uff_E=125.61,-4.6,44.672,43.875
3c0z_cleaned_1054_uff_E=125.61,-4.5,3.939,1.922
3c0z_cleaned_1054_uff_E=125.61,-4.4,31.177,29.377
3c0z_cleaned_1054_uff_E=125.61,-4.3,30.788,28.91
3c0z_cleaned_1054_uff_E=125.61,-4.3,45.474,43.701
3c0z_cleaned_1054_uff_E=125.61,-4.2,42.012,41.252
3c0z_cleaned_1054_uff_E=125.61,-4.2,46.096,44.097
3c0z_cleaned_1054_uff_E=125.61,-4.0,45.075,43.891
3c0z_cleaned_1057_uff_E=62.72,-5.1,0.0,0.0
3c0z_cleaned_1057_uff_E=62.72,-4.9,42.622,41.41
3c0z_cleaned_1057_uff_E=62.72,-4.8,42.953,41.754
3c0z_cleaned_1057_uff_E=62.72,-4.5,35.335,34.366
3c0z_cleaned_1057_uff_E=62.72,-4.3,32.297,31.461
3c0z_cleaned_1057_uff_E=62.72,-4.3,31.971,31.239
3c0z_cleaned_1057_uff_E=62.72,-4.3,2.111,1.602
3c0z_cleaned_1057_uff_E=62.72,-4.3,35.527,34.547
3c0z_cleaned_1057_uff_E=62.72,-4.3,35.631,34.549
3c0z_cleaned_3764_uff_E=337.15,-7.7,0.0,0.0
3c0z_cleaned_3764_uff_E=337.15,-7.2,28.671,27.132
3c0z_cleaned_3764_uff_E=337.15,-7.1,28.803,26.456
3c0z_cleaned_3764_uff_E=337.15,-6.8,7.458,1.6
3c0z_cleaned_3764_uff_E=337.15,-6.7,49.752,48.127
3c0z_cleaned_3764_uff_E=337.15,-6.6,28.833,26.456
3c0z_cleaned_3764_uff_E=337.15,-6.6,49.748,48.559
3c0z_cleaned_3764_uff_E=337.15,-6.5,51.743,48.044
3c0z_cleaned_3764_uff_E=337.15,-6.3,27.638,25.088
3c0z_cleaned_4276_uff_E=330.81,-5.0,0.0,0.0
3c0z_cleaned_4276_uff_E=330.81,-4.9,10.566,8.233
3c0z_cleaned_4276_uff_E=330.81,-4.8,38.268,35.356
3c0z_cleaned_4276_uff_E=330.81,-4.6,6.352,3.654
3c0z_cleaned_4276_uff_E=330.81,-4.6,30.798,28.977
3c0z_cleaned_4276_uff_E=330.81,-4.5,47.484,45.635
3c0z_cleaned_4276_uff_E=330.81,-4.4,30.423,28.49
3c0z_cleaned_4276_uff_E=330.81,-4.4,9.683,6.463
3c0z_cleaned_4276_uff_E=330.81,-4.4,30.442,28.454
3c0z_cleaned_5997_uff_E=549.32,-8.6,0.0,0.0
3c0z_cleaned_5997_uff_E=549.32,-7.8,2.331,1.42
3c0z_cleaned_5997_uff_E=549.32,-7.7,4.976,2.512
3c0z_cleaned_5997_uff_E=549.32,-7.6,9.456,3.155
3c0z_cleaned_5997_uff_E=549.32,-7.5,2.727,1.242
3c0z_cleaned_5997_uff_E=549.32,-7.3,29.495,25.549
3c0z_cleaned_5997_uff_E=549.32,-7.3,6.746,3.288
3c0z_cleaned_5997_uff_E=549.32,-6.9,46.812,40.924
3c0z_cleaned_5997_uff_E=549.32,-6.9,9.455,3.555
3c0z_cleaned_6613_uff_E=133.81,-5.1,0.0,0.0
3c0z_cleaned_6613_uff_E=133.81,-5.0,6.161,1.662
3c0z_cleaned_6613_uff_E=133.81,-4.9,37.898,36.63
3c0z_cleaned_6613_uff_E=133.81,-4.8,5.973,2.824
3c0z_cleaned_6613_uff_E=133.81,-4.7,38.091,36.617
3c0z_cleaned_6613_uff_E=133.81,-4.6,11.938,10.541
3c0z_cleaned_6613_uff_E=133.81,-4.6,12.686,11.041
3c0z_cleaned_6613_uff_E=133.81,-4.6,6.034,2.689
3c0z_cleaned_6613_uff_E=133.81,-4.5,33.106,31.279
3c0z_cleaned_6989_uff_E=95.97,-6.2,0.0,0.0
3c0z_cleaned_6989_uff_E=95.97,-5.9,25.786,23.715
3c0z_cleaned_6989_uff_E=95.97,-5.8,4.414,1.162
3c0z_cleaned_6989_uff_E=95.97,-5.7,3.639,2.657
3c0z_cleaned_6989_uff_E=95.97,-5.6,2.637,1.741
3c0z_cleaned_6989_uff_E=95.97,-5.6,3.151,2.24
3c0z_cleaned_6989_uff_E=95.97,-5.6,4.91,1.942
3c0z_cleaned_6989_uff_E=95.97,-5.1,27.729,25.729
3c0z_cleaned_6989_uff_E=95.97,-5.1,26.407,24.332
3c0z_cleaned_7463_uff_E=91.91,-5.9,0.0,0.0
3c0z_cleaned_7463_uff_E=91.91,-5.9,1.534,0.033
3c0z_cleaned_7463_uff_E=91.91,-5.8,5.388,1.877
3c0z_cleaned_7463_uff_E=91.91,-5.5,4.459,1.037
3c0z_cleaned_7463_uff_E=91.91,-5.4,4.053,1.298
3c0z_cleaned_7463_uff_E=91.91,-5.2,20.369,18.625
3c0z_cleaned_7463_uff_E=91.91,-5.1,27.0,25.252
3c0z_cleaned_7463_uff_E=91.91,-4.9,19.702,18.22
3c0z_cleaned_7463_uff_E=91.91,-4.9,2.192,1.447
3c0z_cleaned_8174_uff_E=44.04,-3.9,0.0,0.0
3c0z_cleaned_8174_uff_E=44.04,-3.8,33.862,32.304
3c0z_cleaned_8174_uff_E=44.04,-3.6,3.243,2.253
3c0z_cleaned_8174_uff_E=44.04,-3.5,4.08,3.106
3c0z_cleaned_8174_uff_E=44.04,-3.4,33.894,32.768
3c0z_cleaned_8174_uff_E=44.04,-3.3,31.913,29.764
3c0z_cleaned_8174_uff_E=44.04,-3.2,27.04,25.233
3c0z_cleaned_8174_uff_E=44.04,-3.2,19.755,18.286
