Ligand,Binding Affinity,rmsd/ub, rmsd/lb
4ff2e06e9491cfdf_289_uff_E=55.42,-5.3,0.0,0.0
4ff2e06e9491cfdf_289_uff_E=55.42,-5.3,2.211,0.11
4ff2e06e9491cfdf_289_uff_E=55.42,-5.1,2.82,1.782
4ff2e06e9491cfdf_289_uff_E=55.42,-4.7,2.554,1.533
4ff2e06e9491cfdf_289_uff_E=55.42,-4.6,36.144,35.178
4ff2e06e9491cfdf_289_uff_E=55.42,-4.5,34.289,33.711
4ff2e06e9491cfdf_289_uff_E=55.42,-4.5,37.899,37.002
4ff2e06e9491cfdf_289_uff_E=55.42,-4.4,15.296,14.436
4ff2e06e9491cfdf_289_uff_E=55.42,-4.2,26.996,26.257
4ff2e06e9491cfdf_892_uff_E=156.51,-5.1,0.0,0.0
4ff2e06e9491cfdf_892_uff_E=156.51,-5.0,22.339,20.852
4ff2e06e9491cfdf_892_uff_E=156.51,-5.0,22.441,21.306
4ff2e06e9491cfdf_892_uff_E=156.51,-5.0,22.595,20.842
4ff2e06e9491cfdf_892_uff_E=156.51,-5.0,22.387,20.983
4ff2e06e9491cfdf_892_uff_E=156.51,-4.9,34.18,33.02
4ff2e06e9491cfdf_892_uff_E=156.51,-4.9,22.642,20.777
4ff2e06e9491cfdf_892_uff_E=156.51,-4.8,3.689,1.032
4ff2e06e9491cfdf_892_uff_E=156.51,-4.5,42.638,41.128
4ff2e06e9491cfdf_289_uff_E=55.42,-4.5,0.0,0.0
4ff2e06e9491cfdf_289_uff_E=55.42,-4.5,60.045,59.006
4ff2e06e9491cfdf_289_uff_E=55.42,-4.5,60.048,59.0
4ff2e06e9491cfdf_289_uff_E=55.42,-4.5,48.305,47.569
4ff2e06e9491cfdf_289_uff_E=55.42,-4.2,38.446,37.165
4ff2e06e9491cfdf_289_uff_E=55.42,-4.2,22.031,21.021
4ff2e06e9491cfdf_289_uff_E=55.42,-4.1,40.15,39.037
4ff2e06e9491cfdf_289_uff_E=55.42,-4.0,39.994,39.504
4ff2e06e9491cfdf_289_uff_E=55.42,-4.0,24.318,23.67
4ff2e06e9491cfdf_892_uff_E=156.51,-5.4,0.0,0.0
4ff2e06e9491cfdf_892_uff_E=156.51,-5.2,32.228,30.359
4ff2e06e9491cfdf_892_uff_E=156.51,-5.1,2.452,1.928
4ff2e06e9491cfdf_892_uff_E=156.51,-5.0,38.274,36.389
4ff2e06e9491cfdf_892_uff_E=156.51,-5.0,37.62,35.842
4ff2e06e9491cfdf_892_uff_E=156.51,-5.0,31.919,30.074
4ff2e06e9491cfdf_892_uff_E=156.51,-5.0,32.023,30.265
4ff2e06e9491cfdf_892_uff_E=156.51,-4.9,31.453,29.492
4ff2e06e9491cfdf_892_uff_E=156.51,-4.6,41.608,39.683
4ff2e06e9491cfdf_938_uff_E=58.73,-4.4,0.0,0.0
4ff2e06e9491cfdf_938_uff_E=58.73,-4.4,37.926,37.288
4ff2e06e9491cfdf_938_uff_E=58.73,-4.4,24.656,23.939
4ff2e06e9491cfdf_938_uff_E=58.73,-4.3,65.944,64.751
4ff2e06e9491cfdf_938_uff_E=58.73,-4.3,11.009,9.975
4ff2e06e9491cfdf_938_uff_E=58.73,-4.2,24.873,24.08
4ff2e06e9491cfdf_938_uff_E=58.73,-4.1,38.806,38.156
4ff2e06e9491cfdf_938_uff_E=58.73,-4.1,33.47,33.096
4ff2e06e9491cfdf_938_uff_E=58.73,-4.0,25.534,25.243
4ff2e06e9491cfdf_985_uff_E=57.46,-4.1,0.0,0.0
4ff2e06e9491cfdf_985_uff_E=57.46,-3.8,6.38,3.237
4ff2e06e9491cfdf_985_uff_E=57.46,-3.7,36.693,35.071
4ff2e06e9491cfdf_985_uff_E=57.46,-3.6,4.023,2.269
4ff2e06e9491cfdf_985_uff_E=57.46,-3.5,36.27,32.225
4ff2e06e9491cfdf_985_uff_E=57.46,-3.4,45.694,43.951
4ff2e06e9491cfdf_985_uff_E=57.46,-3.3,33.51,30.835
