Ligand,Binding Affinity,rmsd/ub, rmsd/lb
1vkg_cleaned_289_uff_E=55.42,-4.8,0.0,0.0
1vkg_cleaned_289_uff_E=55.42,-4.3,22.664,22.19
1vkg_cleaned_289_uff_E=55.42,-4.3,23.092,22.644
1vkg_cleaned_289_uff_E=55.42,-4.3,21.614,20.305
1vkg_cleaned_289_uff_E=55.42,-4.2,21.997,20.672
1vkg_cleaned_289_uff_E=55.42,-4.2,7.918,6.832
1vkg_cleaned_289_uff_E=55.42,-4.1,7.619,6.841
1vkg_cleaned_289_uff_E=55.42,-3.9,7.179,6.056
1vkg_cleaned_289_uff_E=55.42,-3.8,19.275,18.699
1vkg_cleaned_892_uff_E=156.51,-4.7,0.0,0.0
1vkg_cleaned_892_uff_E=156.51,-4.6,20.997,19.626
1vkg_cleaned_892_uff_E=156.51,-4.5,21.044,19.645
1vkg_cleaned_892_uff_E=156.51,-4.5,45.521,44.682
1vkg_cleaned_892_uff_E=156.51,-4.5,23.762,21.684
1vkg_cleaned_892_uff_E=156.51,-4.4,21.609,20.308
1vkg_cleaned_892_uff_E=156.51,-4.3,6.04,3.596
1vkg_cleaned_892_uff_E=156.51,-4.3,45.677,44.874
1vkg_cleaned_892_uff_E=156.51,-4.3,45.855,45.016
1vkg_cleaned_938_uff_E=58.73,-4.5,0.0,0.0
1vkg_cleaned_938_uff_E=58.73,-4.4,32.411,31.658
1vkg_cleaned_938_uff_E=58.73,-4.3,32.53,31.77
1vkg_cleaned_938_uff_E=58.73,-4.3,16.703,15.91
1vkg_cleaned_938_uff_E=58.73,-4.3,13.291,12.742
1vkg_cleaned_938_uff_E=58.73,-4.2,32.33,31.564
1vkg_cleaned_938_uff_E=58.73,-4.1,32.408,31.65
1vkg_cleaned_938_uff_E=58.73,-4.0,28.81,28.094
1vkg_cleaned_938_uff_E=58.73,-3.9,42.707,42.172
1vkg_cleaned_985_uff_E=57.46,-5.3,0.0,0.0
1vkg_cleaned_985_uff_E=57.46,-5.2,7.956,3.996
1vkg_cleaned_985_uff_E=57.46,-5.1,5.617,3.94
1vkg_cleaned_985_uff_E=57.46,-5.1,5.612,3.769
1vkg_cleaned_985_uff_E=57.46,-5.1,7.586,4.501
1vkg_cleaned_985_uff_E=57.46,-4.9,5.244,2.559
1vkg_cleaned_985_uff_E=57.46,-4.8,3.41,2.202
1vkg_cleaned_985_uff_E=57.46,-4.7,6.903,4.745
1vkg_cleaned_985_uff_E=57.46,-4.7,5.138,3.08
1vkg_cleaned_1054_uff_E=125.61,-5.0,0.0,0.0
1vkg_cleaned_1054_uff_E=125.61,-4.9,22.655,21.345
1vkg_cleaned_1054_uff_E=125.61,-4.8,3.839,1.643
1vkg_cleaned_1054_uff_E=125.61,-4.5,5.299,3.886
1vkg_cleaned_1054_uff_E=125.61,-4.5,3.819,2.683
1vkg_cleaned_1054_uff_E=125.61,-4.4,3.496,2.485
1vkg_cleaned_1054_uff_E=125.61,-4.3,4.478,2.491
1vkg_cleaned_1054_uff_E=125.61,-4.3,24.4,22.692
1vkg_cleaned_1054_uff_E=125.61,-4.3,3.92,2.511
1vkg_cleaned_1057_uff_E=62.72,-4.8,0.0,0.0
1vkg_cleaned_1057_uff_E=62.72,-4.7,2.752,0.953
1vkg_cleaned_1057_uff_E=62.72,-4.5,32.126,31.342
1vkg_cleaned_1057_uff_E=62.72,-4.4,21.393,19.992
1vkg_cleaned_1057_uff_E=62.72,-4.4,21.342,20.076
1vkg_cleaned_1057_uff_E=62.72,-4.3,2.771,2.207
1vkg_cleaned_1057_uff_E=62.72,-4.2,45.964,45.265
1vkg_cleaned_1057_uff_E=62.72,-4.2,2.966,1.476
1vkg_cleaned_1057_uff_E=62.72,-4.2,16.309,15.902
1vkg_cleaned_3764_uff_E=337.15,-7.5,0.0,0.0
1vkg_cleaned_3764_uff_E=337.15,-7.4,8.187,1.882
1vkg_cleaned_3764_uff_E=337.15,-7.3,6.005,3.094
1vkg_cleaned_3764_uff_E=337.15,-7.2,3.869,2.02
1vkg_cleaned_3764_uff_E=337.15,-6.8,5.488,4.07
1vkg_cleaned_3764_uff_E=337.15,-6.3,21.791,18.755
1vkg_cleaned_3764_uff_E=337.15,-6.2,23.53,21.225
1vkg_cleaned_3764_uff_E=337.15,-6.2,20.307,15.841
1vkg_cleaned_3764_uff_E=337.15,-6.1,12.399,10.558
1vkg_cleaned_4276_uff_E=330.81,-6.2,0.0,0.0
1vkg_cleaned_4276_uff_E=330.81,-6.2,2.963,1.002
1vkg_cleaned_4276_uff_E=330.81,-5.7,2.79,1.788
1vkg_cleaned_4276_uff_E=330.81,-5.2,5.994,4.381
1vkg_cleaned_4276_uff_E=330.81,-5.2,20.711,18.979
1vkg_cleaned_4276_uff_E=330.81,-5.0,3.176,2.186
1vkg_cleaned_4276_uff_E=330.81,-4.9,20.132,18.818
1vkg_cleaned_4276_uff_E=330.81,-4.8,4.437,2.548
1vkg_cleaned_4276_uff_E=330.81,-4.7,19.09,17.218
1vkg_cleaned_5997_uff_E=549.32,-9.5,0.0,0.0
1vkg_cleaned_5997_uff_E=549.32,-9.5,3.093,1.637
1vkg_cleaned_5997_uff_E=549.32,-9.3,3.953,2.157
1vkg_cleaned_5997_uff_E=549.32,-8.8,9.127,3.258
1vkg_cleaned_5997_uff_E=549.32,-8.6,4.988,3.393
1vkg_cleaned_5997_uff_E=549.32,-8.6,4.603,2.263
1vkg_cleaned_5997_uff_E=549.32,-8.2,10.529,4.211
1vkg_cleaned_5997_uff_E=549.32,-8.2,5.715,3.266
1vkg_cleaned_5997_uff_E=549.32,-8.1,9.043,3.758
1vkg_cleaned_6613_uff_E=133.81,-5.3,0.0,0.0
1vkg_cleaned_6613_uff_E=133.81,-5.1,2.904,2.336
1vkg_cleaned_6613_uff_E=133.81,-5.1,1.955,1.591
1vkg_cleaned_6613_uff_E=133.81,-5.0,2.245,1.735
1vkg_cleaned_6613_uff_E=133.81,-4.9,4.38,3.265
1vkg_cleaned_6613_uff_E=133.81,-4.8,3.835,2.634
1vkg_cleaned_6613_uff_E=133.81,-4.7,22.211,20.755
1vkg_cleaned_6613_uff_E=133.81,-4.6,5.525,1.493
1vkg_cleaned_6613_uff_E=133.81,-4.6,22.287,20.624
1vkg_cleaned_6989_uff_E=95.97,-5.4,0.0,0.0
1vkg_cleaned_6989_uff_E=95.97,-5.3,4.937,3.373
1vkg_cleaned_6989_uff_E=95.97,-5.3,3.427,2.14
1vkg_cleaned_6989_uff_E=95.97,-5.3,3.409,1.852
1vkg_cleaned_6989_uff_E=95.97,-5.2,3.412,1.749
1vkg_cleaned_6989_uff_E=95.97,-5.1,3.35,2.078
1vkg_cleaned_6989_uff_E=95.97,-5.1,19.081,16.529
1vkg_cleaned_6989_uff_E=95.97,-5.1,4.566,2.273
1vkg_cleaned_6989_uff_E=95.97,-5.0,18.913,16.439
1vkg_cleaned_7463_uff_E=91.91,-5.3,0.0,0.0
1vkg_cleaned_7463_uff_E=91.91,-5.3,4.254,1.237
1vkg_cleaned_7463_uff_E=91.91,-5.3,4.307,2.004
1vkg_cleaned_7463_uff_E=91.91,-5.2,4.552,1.981
1vkg_cleaned_7463_uff_E=91.91,-5.2,2.806,2.591
1vkg_cleaned_7463_uff_E=91.91,-5.1,3.532,1.976
1vkg_cleaned_7463_uff_E=91.91,-5.1,19.215,16.335
1vkg_cleaned_7463_uff_E=91.91,-5.1,4.304,1.647
1vkg_cleaned_7463_uff_E=91.91,-5.0,6.044,5.396
1vkg_cleaned_8174_uff_E=44.04,-4.7,0.0,0.0
1vkg_cleaned_8174_uff_E=44.04,-4.4,2.166,1.241
1vkg_cleaned_8174_uff_E=44.04,-4.3,6.021,4.895
1vkg_cleaned_8174_uff_E=44.04,-4.3,26.067,24.359
1vkg_cleaned_8174_uff_E=44.04,-4.2,5.885,4.961
1vkg_cleaned_8174_uff_E=44.04,-4.1,20.042,17.812
1vkg_cleaned_8174_uff_E=44.04,-4.0,27.486,26.517
1vkg_cleaned_8174_uff_E=44.04,-3.9,21.132,20.113
1vkg_cleaned_8174_uff_E=44.04,-3.9,6.604,5.136
1vkg_cleaned_8175_uff_E=34.10,-4.5,0.0,0.0
1vkg_cleaned_8175_uff_E=34.10,-4.2,5.862,4.315
1vkg_cleaned_8175_uff_E=34.10,-4.1,25.777,24.181
1vkg_cleaned_8175_uff_E=34.10,-4.0,2.357,1.529
1vkg_cleaned_8175_uff_E=34.10,-3.9,26.486,24.965
1vkg_cleaned_8175_uff_E=34.10,-3.9,19.952,17.57
1vkg_cleaned_8175_uff_E=34.10,-3.9,5.728,4.334
1vkg_cleaned_8175_uff_E=34.10,-3.8,12.51,11.531
1vkg_cleaned_8175_uff_E=34.10,-3.7,19.856,17.411
1vkg_cleaned_10248_uff_E=228.13,-6.1,0.0,0.0
1vkg_cleaned_10248_uff_E=228.13,-6.0,3.349,0.424
1vkg_cleaned_10248_uff_E=228.13,-5.7,3.855,1.506
1vkg_cleaned_10248_uff_E=228.13,-4.9,4.047,2.378
1vkg_cleaned_10248_uff_E=228.13,-4.8,26.574,24.603
1vkg_cleaned_10248_uff_E=228.13,-4.8,5.206,2.417
1vkg_cleaned_10248_uff_E=228.13,-4.7,17.958,15.805
1vkg_cleaned_10248_uff_E=228.13,-4.7,22.398,19.74
1vkg_cleaned_10248_uff_E=228.13,-4.4,26.969,24.885
1vkg_cleaned_10364_uff_E=78.47,-5.5,0.0,0.0
1vkg_cleaned_10364_uff_E=78.47,-5.3,3.478,2.932
1vkg_cleaned_10364_uff_E=78.47,-5.3,4.583,2.9
1vkg_cleaned_10364_uff_E=78.47,-5.2,4.367,1.164
1vkg_cleaned_10364_uff_E=78.47,-5.2,2.141,1.57
1vkg_cleaned_10364_uff_E=78.47,-5.1,5.771,2.53
1vkg_cleaned_10364_uff_E=78.47,-5.0,7.464,6.086
1vkg_cleaned_10364_uff_E=78.47,-4.9,28.391,27.603
1vkg_cleaned_10364_uff_E=78.47,-4.9,28.448,27.466
1vkg_cleaned_17697_uff_E=50.62,-5.2,0.0,0.0
1vkg_cleaned_17697_uff_E=50.62,-5.0,7.129,4.577
1vkg_cleaned_17697_uff_E=50.62,-4.9,2.283,1.58
1vkg_cleaned_17697_uff_E=50.62,-4.7,6.011,4.205
1vkg_cleaned_17697_uff_E=50.62,-4.6,6.615,3.643
1vkg_cleaned_17697_uff_E=50.62,-4.6,5.937,3.887
1vkg_cleaned_17697_uff_E=50.62,-4.6,7.897,4.126
1vkg_cleaned_17697_uff_E=50.62,-4.6,5.851,3.941
1vkg_cleaned_17697_uff_E=50.62,-4.4,5.067,3.891
1vkg_cleaned_79036_uff_E=108.75,-5.1,0.0,0.0
1vkg_cleaned_79036_uff_E=108.75,-5.0,4.304,2.36
1vkg_cleaned_79036_uff_E=108.75,-5.0,3.497,2.247
1vkg_cleaned_79036_uff_E=108.75,-4.9,5.214,3.451
1vkg_cleaned_79036_uff_E=108.75,-4.8,28.5,27.598
1vkg_cleaned_79036_uff_E=108.75,-4.8,2.705,2.241
1vkg_cleaned_79036_uff_E=108.75,-4.7,2.752,2.236
1vkg_cleaned_79036_uff_E=108.75,-4.7,3.688,2.0
1vkg_cleaned_79036_uff_E=108.75,-4.6,6.473,4.151
