Ligand,Binding Affinity,rmsd/ub, rmsd/lb
2vqj_cleaned_289_uff_E=55.42,-5.0,0.0,0.0
2vqj_cleaned_289_uff_E=55.42,-5.0,2.208,0.019
2vqj_cleaned_289_uff_E=55.42,-4.5,20.469,20.093
2vqj_cleaned_289_uff_E=55.42,-4.5,2.854,2.375
2vqj_cleaned_289_uff_E=55.42,-4.3,12.852,11.889
2vqj_cleaned_289_uff_E=55.42,-4.2,16.104,15.801
2vqj_cleaned_289_uff_E=55.42,-4.2,17.25,16.32
2vqj_cleaned_289_uff_E=55.42,-4.2,13.041,12.197
2vqj_cleaned_289_uff_E=55.42,-4.2,30.338,29.25
2vqj_cleaned_892_uff_E=156.51,-5.2,0.0,0.0
2vqj_cleaned_892_uff_E=156.51,-5.1,3.119,0.909
2vqj_cleaned_892_uff_E=156.51,-5.0,2.164,1.102
2vqj_cleaned_892_uff_E=156.51,-5.0,21.938,20.225
2vqj_cleaned_892_uff_E=156.51,-5.0,22.374,20.762
2vqj_cleaned_892_uff_E=156.51,-4.9,38.624,37.136
2vqj_cleaned_892_uff_E=156.51,-4.9,3.314,1.052
2vqj_cleaned_892_uff_E=156.51,-4.9,3.069,1.232
2vqj_cleaned_892_uff_E=156.51,-4.8,21.765,19.994
2vqj_cleaned_938_uff_E=58.73,-4.7,0.0,0.0
2vqj_cleaned_938_uff_E=58.73,-4.7,15.884,14.873
2vqj_cleaned_938_uff_E=58.73,-4.6,13.809,12.644
2vqj_cleaned_938_uff_E=58.73,-4.4,2.433,1.739
2vqj_cleaned_938_uff_E=58.73,-4.4,22.757,21.71
2vqj_cleaned_938_uff_E=58.73,-4.4,19.624,18.558
2vqj_cleaned_938_uff_E=58.73,-4.4,5.84,5.451
2vqj_cleaned_938_uff_E=58.73,-4.3,26.769,25.832
2vqj_cleaned_938_uff_E=58.73,-4.3,3.83,2.932
2vqj_cleaned_985_uff_E=57.46,-5.5,0.0,0.0
2vqj_cleaned_985_uff_E=57.46,-5.2,4.103,2.977
2vqj_cleaned_985_uff_E=57.46,-4.9,3.335,1.899
2vqj_cleaned_985_uff_E=57.46,-4.9,17.839,15.921
2vqj_cleaned_985_uff_E=57.46,-4.7,18.894,17.161
2vqj_cleaned_985_uff_E=57.46,-4.7,19.284,16.79
2vqj_cleaned_985_uff_E=57.46,-4.6,8.171,4.272
2vqj_cleaned_985_uff_E=57.46,-4.6,19.129,16.875
2vqj_cleaned_985_uff_E=57.46,-4.6,9.231,5.958
2vqj_cleaned_1054_uff_E=125.61,-5.8,0.0,0.0
2vqj_cleaned_1054_uff_E=125.61,-5.2,14.498,11.969
2vqj_cleaned_1054_uff_E=125.61,-5.1,15.6,14.221
2vqj_cleaned_1054_uff_E=125.61,-4.8,11.714,10.328
2vqj_cleaned_1054_uff_E=125.61,-4.8,13.948,12.562
2vqj_cleaned_1054_uff_E=125.61,-4.7,22.979,22.04
2vqj_cleaned_1054_uff_E=125.61,-4.7,31.552,30.874
2vqj_cleaned_1054_uff_E=125.61,-4.7,31.356,30.885
2vqj_cleaned_1054_uff_E=125.61,-4.6,31.618,30.696
2vqj_cleaned_1057_uff_E=62.72,-5.1,0.0,0.0
2vqj_cleaned_1057_uff_E=62.72,-4.9,3.415,2.619
2vqj_cleaned_1057_uff_E=62.72,-4.7,3.656,3.04
2vqj_cleaned_1057_uff_E=62.72,-4.6,22.252,22.116
2vqj_cleaned_1057_uff_E=62.72,-4.6,23.044,22.062
2vqj_cleaned_1057_uff_E=62.72,-4.6,22.912,22.061
2vqj_cleaned_1057_uff_E=62.72,-4.6,22.279,21.882
2vqj_cleaned_1057_uff_E=62.72,-4.6,20.727,20.363
2vqj_cleaned_1057_uff_E=62.72,-4.5,30.977,30.244
2vqj_cleaned_3764_uff_E=337.15,-7.4,0.0,0.0
2vqj_cleaned_3764_uff_E=337.15,-7.0,2.146,0.765
2vqj_cleaned_3764_uff_E=337.15,-6.9,9.284,5.449
2vqj_cleaned_3764_uff_E=337.15,-6.8,11.325,7.011
2vqj_cleaned_3764_uff_E=337.15,-6.8,8.415,4.351
2vqj_cleaned_3764_uff_E=337.15,-6.7,14.705,11.431
2vqj_cleaned_3764_uff_E=337.15,-6.5,10.411,7.417
