Ligand,Binding Affinity,rmsd/ub, rmsd/lb
3c0z_cleaned_289_uff_E=55.42,-4.8,0.0,0.0
3c0z_cleaned_289_uff_E=55.42,-4.8,2.208,0.035
3c0z_cleaned_289_uff_E=55.42,-4.7,42.504,41.435
3c0z_cleaned_289_uff_E=55.42,-4.6,42.543,41.427
3c0z_cleaned_289_uff_E=55.42,-4.0,6.513,5.385
3c0z_cleaned_289_uff_E=55.42,-4.0,7.601,6.588
3c0z_cleaned_289_uff_E=55.42,-4.0,47.914,46.669
3c0z_cleaned_289_uff_E=55.42,-3.9,25.524,24.346
3c0z_cleaned_289_uff_E=55.42,-3.9,47.53,46.509
3c0z_cleaned_892_uff_E=156.51,-4.9,0.0,0.0
3c0z_cleaned_892_uff_E=156.51,-4.9,37.281,35.911
3c0z_cleaned_892_uff_E=156.51,-4.7,11.65,9.547
3c0z_cleaned_892_uff_E=156.51,-4.5,37.257,35.854
3c0z_cleaned_892_uff_E=156.51,-4.5,37.358,36.013
3c0z_cleaned_892_uff_E=156.51,-4.4,23.2,21.922
3c0z_cleaned_892_uff_E=156.51,-4.4,33.114,31.789
3c0z_cleaned_892_uff_E=156.51,-4.4,3.243,0.843
3c0z_cleaned_892_uff_E=156.51,-4.3,25.132,23.607
3c0z_cleaned_938_uff_E=58.73,-4.7,0.0,0.0
3c0z_cleaned_938_uff_E=58.73,-4.7,25.918,24.926
3c0z_cleaned_938_uff_E=58.73,-4.7,26.629,25.724
3c0z_cleaned_938_uff_E=58.73,-4.5,7.344,5.988
3c0z_cleaned_938_uff_E=58.73,-4.5,44.077,42.745
3c0z_cleaned_938_uff_E=58.73,-4.2,5.319,4.468
3c0z_cleaned_938_uff_E=58.73,-4.2,47.395,46.318
3c0z_cleaned_938_uff_E=58.73,-4.1,44.043,42.835
3c0z_cleaned_938_uff_E=58.73,-4.0,41.303,40.171
3c0z_cleaned_985_uff_E=57.46,-5.3,0.0,0.0
3c0z_cleaned_985_uff_E=57.46,-5.0,2.273,2.03
3c0z_cleaned_985_uff_E=57.46,-4.6,31.057,28.78
3c0z_cleaned_985_uff_E=57.46,-4.4,33.703,32.197
3c0z_cleaned_985_uff_E=57.46,-4.3,3.57,2.406
