Ligand,Binding Affinity,rmsd/ub, rmsd/lb
4bkx_cleaned_289_uff_E=55.42,-4.7,0.0,0.0
4bkx_cleaned_289_uff_E=55.42,-4.5,16.774,16.485
4bkx_cleaned_289_uff_E=55.42,-4.5,16.794,16.473
4bkx_cleaned_289_uff_E=55.42,-4.4,2.35,0.866
4bkx_cleaned_289_uff_E=55.42,-4.3,16.664,16.267
4bkx_cleaned_289_uff_E=55.42,-4.1,2.991,1.865
4bkx_cleaned_289_uff_E=55.42,-4.0,30.276,29.354
4bkx_cleaned_289_uff_E=55.42,-4.0,27.423,26.368
4bkx_cleaned_289_uff_E=55.42,-3.9,12.907,12.348
4bkx_cleaned_892_uff_E=156.51,-5.0,0.0,0.0
4bkx_cleaned_892_uff_E=156.51,-4.8,3.202,0.875
4bkx_cleaned_892_uff_E=156.51,-4.7,30.013,27.863
4bkx_cleaned_892_uff_E=156.51,-4.6,3.271,1.105
4bkx_cleaned_892_uff_E=156.51,-4.6,3.121,1.425
4bkx_cleaned_892_uff_E=156.51,-4.6,3.301,2.189
4bkx_cleaned_892_uff_E=156.51,-4.5,20.473,19.333
4bkx_cleaned_892_uff_E=156.51,-4.4,3.951,1.584
4bkx_cleaned_892_uff_E=156.51,-4.4,37.348,36.465
4bkx_cleaned_938_uff_E=58.73,-4.4,0.0,0.0
4bkx_cleaned_938_uff_E=58.73,-4.3,23.499,22.376
4bkx_cleaned_938_uff_E=58.73,-4.2,18.885,18.129
4bkx_cleaned_938_uff_E=58.73,-4.2,17.529,17.205
4bkx_cleaned_938_uff_E=58.73,-4.2,23.766,22.917
4bkx_cleaned_938_uff_E=58.73,-4.1,3.131,2.516
4bkx_cleaned_938_uff_E=58.73,-4.1,41.811,41.369
4bkx_cleaned_938_uff_E=58.73,-4.1,2.062,1.703
4bkx_cleaned_938_uff_E=58.73,-4.0,24.482,23.921
4bkx_cleaned_985_uff_E=57.46,-4.3,0.0,0.0
4bkx_cleaned_985_uff_E=57.46,-4.2,23.216,20.451
4bkx_cleaned_985_uff_E=57.46,-4.1,25.672,22.431
4bkx_cleaned_985_uff_E=57.46,-4.1,44.221,42.318
4bkx_cleaned_985_uff_E=57.46,-4.1,44.52,42.626
4bkx_cleaned_985_uff_E=57.46,-4.0,6.527,3.782
4bkx_cleaned_985_uff_E=57.46,-4.0,43.36,41.024
4bkx_cleaned_985_uff_E=57.46,-4.0,6.555,3.309
4bkx_cleaned_985_uff_E=57.46,-4.0,43.374,40.623
4bkx_cleaned_1054_uff_E=125.61,-5.0,0.0,0.0
4bkx_cleaned_1054_uff_E=125.61,-4.8,3.087,1.554
4bkx_cleaned_1054_uff_E=125.61,-4.6,37.154,35.667
4bkx_cleaned_1054_uff_E=125.61,-4.6,35.741,34.174
4bkx_cleaned_1054_uff_E=125.61,-4.5,18.403,16.996
4bkx_cleaned_1054_uff_E=125.61,-4.4,36.963,35.138
4bkx_cleaned_1054_uff_E=125.61,-4.4,35.871,34.386
4bkx_cleaned_1054_uff_E=125.61,-4.1,37.399,35.898
4bkx_cleaned_1054_uff_E=125.61,-4.1,36.882,35.039
4bkx_cleaned_1057_uff_E=62.72,-4.8,0.0,0.0
4bkx_cleaned_1057_uff_E=62.72,-4.7,30.103,28.835
4bkx_cleaned_1057_uff_E=62.72,-4.7,30.197,28.842
4bkx_cleaned_1057_uff_E=62.72,-4.4,27.32,26.313
4bkx_cleaned_1057_uff_E=62.72,-4.3,16.925,16.392
4bkx_cleaned_1057_uff_E=62.72,-4.3,27.614,26.413
4bkx_cleaned_1057_uff_E=62.72,-4.2,32.531,31.208
4bkx_cleaned_1057_uff_E=62.72,-4.2,32.563,31.213
4bkx_cleaned_1057_uff_E=62.72,-4.2,29.354,28.171
4bkx_cleaned_3764_uff_E=337.15,-6.1,0.0,0.0
4bkx_cleaned_3764_uff_E=337.15,-5.9,22.912,19.345
4bkx_cleaned_3764_uff_E=337.15,-5.9,16.911,15.422
4bkx_cleaned_3764_uff_E=337.15,-5.8,19.419,18.649
4bkx_cleaned_3764_uff_E=337.15,-5.8,35.565,34.39
4bkx_cleaned_3764_uff_E=337.15,-5.8,34.917,33.489
4bkx_cleaned_3764_uff_E=337.15,-5.7,13.64,10.98
4bkx_cleaned_3764_uff_E=337.15,-5.6,8.859,6.976
4bkx_cleaned_3764_uff_E=337.15,-5.5,13.619,10.936
4bkx_cleaned_4276_uff_E=330.81,-5.3,0.0,0.0
4bkx_cleaned_4276_uff_E=330.81,-4.9,2.46,2.2
4bkx_cleaned_4276_uff_E=330.81,-4.7,18.384,17.374
4bkx_cleaned_4276_uff_E=330.81,-4.7,4.362,3.072
4bkx_cleaned_4276_uff_E=330.81,-4.6,24.889,23.07
4bkx_cleaned_4276_uff_E=330.81,-4.6,18.38,17.655
4bkx_cleaned_4276_uff_E=330.81,-4.6,32.986,31.767
4bkx_cleaned_4276_uff_E=330.81,-4.5,31.439,29.155
4bkx_cleaned_4276_uff_E=330.81,-4.5,23.088,21.342
4bkx_cleaned_5997_uff_E=549.32,-7.0,0.0,0.0
4bkx_cleaned_5997_uff_E=549.32,-6.8,17.449,15.377
4bkx_cleaned_5997_uff_E=549.32,-6.4,20.796,18.421
4bkx_cleaned_5997_uff_E=549.32,-6.4,22.759,18.78
4bkx_cleaned_5997_uff_E=549.32,-6.3,17.915,14.992
4bkx_cleaned_5997_uff_E=549.32,-6.2,3.568,1.98
4bkx_cleaned_5997_uff_E=549.32,-6.2,21.931,18.299
4bkx_cleaned_5997_uff_E=549.32,-6.2,37.535,33.689
4bkx_cleaned_5997_uff_E=549.32,-6.2,37.351,33.608
