Ligand,Binding Affinity,rmsd/ub, rmsd/lb
5iwg_cleaned_289_uff_E=55.42,-4.8,0.0,0.0
5iwg_cleaned_289_uff_E=55.42,-4.8,2.208,0.011
5iwg_cleaned_289_uff_E=55.42,-4.8,22.906,21.945
5iwg_cleaned_289_uff_E=55.42,-4.8,22.893,21.963
5iwg_cleaned_289_uff_E=55.42,-4.5,41.157,40.642
5iwg_cleaned_289_uff_E=55.42,-4.5,36.297,35.259
5iwg_cleaned_289_uff_E=55.42,-4.5,36.33,35.327
5iwg_cleaned_289_uff_E=55.42,-4.4,23.23,22.36
5iwg_cleaned_289_uff_E=55.42,-4.4,17.043,16.061
5iwg_cleaned_892_uff_E=156.51,-5.3,0.0,0.0
5iwg_cleaned_892_uff_E=156.51,-5.2,3.119,1.02
5iwg_cleaned_892_uff_E=156.51,-5.2,20.658,19.886
5iwg_cleaned_892_uff_E=156.51,-5.0,3.233,1.071
5iwg_cleaned_892_uff_E=156.51,-5.0,20.952,19.92
5iwg_cleaned_892_uff_E=156.51,-4.9,37.412,36.285
5iwg_cleaned_892_uff_E=156.51,-4.8,3.87,1.32
5iwg_cleaned_892_uff_E=156.51,-4.5,4.163,2.163
5iwg_cleaned_892_uff_E=156.51,-4.4,26.982,25.779
5iwg_cleaned_938_uff_E=58.73,-5.5,0.0,0.0
5iwg_cleaned_938_uff_E=58.73,-5.3,6.74,5.799
5iwg_cleaned_938_uff_E=58.73,-5.2,11.205,10.092
5iwg_cleaned_938_uff_E=58.73,-5.2,4.586,3.81
5iwg_cleaned_938_uff_E=58.73,-4.7,16.432,15.804
5iwg_cleaned_938_uff_E=58.73,-4.6,26.41,25.743
5iwg_cleaned_938_uff_E=58.73,-4.3,17.357,16.217
5iwg_cleaned_938_uff_E=58.73,-4.3,22.592,21.948
5iwg_cleaned_938_uff_E=58.73,-4.2,27.519,26.767
5iwg_cleaned_985_uff_E=57.46,-4.4,0.0,0.0
5iwg_cleaned_985_uff_E=57.46,-4.2,33.976,32.097
5iwg_cleaned_985_uff_E=57.46,-4.1,33.988,32.76
5iwg_cleaned_985_uff_E=57.46,-3.9,36.146,34.235
5iwg_cleaned_985_uff_E=57.46,-3.9,34.128,32.383
5iwg_cleaned_985_uff_E=57.46,-3.9,35.762,34.126
5iwg_cleaned_985_uff_E=57.46,-3.8,33.819,31.048
5iwg_cleaned_985_uff_E=57.46,-3.8,7.244,4.731
5iwg_cleaned_985_uff_E=57.46,-3.7,20.985,18.607
5iwg_cleaned_1054_uff_E=125.61,-4.7,0.0,0.0
5iwg_cleaned_1054_uff_E=125.61,-4.7,27.117,25.967
5iwg_cleaned_1054_uff_E=125.61,-4.6,15.973,13.9
5iwg_cleaned_1054_uff_E=125.61,-4.6,40.164,38.673
5iwg_cleaned_1054_uff_E=125.61,-4.5,11.875,9.887
5iwg_cleaned_1054_uff_E=125.61,-4.4,39.844,39.472
5iwg_cleaned_1054_uff_E=125.61,-4.4,37.18,35.563
5iwg_cleaned_1054_uff_E=125.61,-4.4,40.216,39.808
5iwg_cleaned_1054_uff_E=125.61,-4.3,24.602,22.827
5iwg_cleaned_1057_uff_E=62.72,-5.2,0.0,0.0
5iwg_cleaned_1057_uff_E=62.72,-4.8,2.136,1.121
5iwg_cleaned_1057_uff_E=62.72,-4.8,36.147,35.052
5iwg_cleaned_1057_uff_E=62.72,-4.8,36.06,35.057
5iwg_cleaned_1057_uff_E=62.72,-4.8,23.213,22.094
5iwg_cleaned_1057_uff_E=62.72,-4.7,40.755,40.2
5iwg_cleaned_1057_uff_E=62.72,-4.4,41.52,40.947
5iwg_cleaned_1057_uff_E=62.72,-4.3,34.869,33.727
5iwg_cleaned_1057_uff_E=62.72,-4.3,36.338,35.26
5iwg_cleaned_3764_uff_E=337.15,-6.6,0.0,0.0
5iwg_cleaned_3764_uff_E=337.15,-6.5,33.255,31.902
5iwg_cleaned_3764_uff_E=337.15,-6.5,33.255,31.815
5iwg_cleaned_3764_uff_E=337.15,-6.2,42.126,40.772
5iwg_cleaned_3764_uff_E=337.15,-6.0,9.528,2.933
5iwg_cleaned_3764_uff_E=337.15,-5.8,32.689,28.781
5iwg_cleaned_3764_uff_E=337.15,-5.8,38.675,36.943
5iwg_cleaned_3764_uff_E=337.15,-5.7,7.986,4.77
5iwg_cleaned_3764_uff_E=337.15,-5.7,40.994,36.939
5iwg_cleaned_4276_uff_E=330.81,-5.4,0.0,0.0
5iwg_cleaned_4276_uff_E=330.81,-5.1,32.179,31.498
5iwg_cleaned_4276_uff_E=330.81,-4.9,3.14,1.954
5iwg_cleaned_4276_uff_E=330.81,-4.8,32.111,31.034
5iwg_cleaned_4276_uff_E=330.81,-4.6,25.629,23.814
5iwg_cleaned_4276_uff_E=330.81,-4.6,32.578,31.158
5iwg_cleaned_4276_uff_E=330.81,-4.6,19.766,18.316
