Ligand,Binding Affinity,rmsd/ub, rmsd/lb
5uwi_cleaned_289_uff_E=55.42,-3.0,0.0,0.0
5uwi_cleaned_289_uff_E=55.42,-3.0,2.209,0.046
5uwi_cleaned_289_uff_E=55.42,-2.9,2.58,2.174
5uwi_cleaned_289_uff_E=55.42,-2.8,10.465,9.579
5uwi_cleaned_289_uff_E=55.42,-2.8,17.875,16.912
5uwi_cleaned_289_uff_E=55.42,-2.8,17.845,16.91
5uwi_cleaned_289_uff_E=55.42,-2.7,7.197,6.136
5uwi_cleaned_289_uff_E=55.42,-2.7,7.174,6.161
5uwi_cleaned_289_uff_E=55.42,-2.6,14.907,13.861
5uwi_cleaned_892_uff_E=156.51,-3.0,0.0,0.0
5uwi_cleaned_892_uff_E=156.51,-2.9,4.233,0.787
5uwi_cleaned_892_uff_E=156.51,-2.9,9.786,8.764
5uwi_cleaned_892_uff_E=156.51,-2.9,2.579,1.388
5uwi_cleaned_892_uff_E=156.51,-2.9,3.952,1.713
5uwi_cleaned_892_uff_E=156.51,-2.8,3.019,1.341
5uwi_cleaned_892_uff_E=156.51,-2.8,7.548,5.068
5uwi_cleaned_892_uff_E=156.51,-2.8,7.806,5.677
5uwi_cleaned_892_uff_E=156.51,-2.8,2.106,1.631
5uwi_cleaned_938_uff_E=58.73,-2.9,0.0,0.0
5uwi_cleaned_938_uff_E=58.73,-2.9,11.757,10.852
5uwi_cleaned_938_uff_E=58.73,-2.9,6.516,5.514
5uwi_cleaned_938_uff_E=58.73,-2.8,6.045,5.145
5uwi_cleaned_938_uff_E=58.73,-2.8,3.841,3.157
5uwi_cleaned_938_uff_E=58.73,-2.7,15.653,14.314
5uwi_cleaned_938_uff_E=58.73,-2.6,3.484,2.428
5uwi_cleaned_938_uff_E=58.73,-2.6,5.944,4.815
5uwi_cleaned_938_uff_E=58.73,-2.6,9.522,8.795
5uwi_cleaned_985_uff_E=57.46,-2.8,0.0,0.0
5uwi_cleaned_985_uff_E=57.46,-2.8,6.545,3.67
5uwi_cleaned_985_uff_E=57.46,-2.7,4.011,1.751
5uwi_cleaned_985_uff_E=57.46,-2.7,5.679,2.851
5uwi_cleaned_985_uff_E=57.46,-2.7,4.139,1.673
5uwi_cleaned_985_uff_E=57.46,-2.7,3.871,1.811
5uwi_cleaned_985_uff_E=57.46,-2.6,6.222,3.454
5uwi_cleaned_985_uff_E=57.46,-2.6,6.005,3.392
5uwi_cleaned_985_uff_E=57.46,-2.5,2.675,1.377
5uwi_cleaned_1054_uff_E=125.61,-3.4,0.0,0.0
5uwi_cleaned_1054_uff_E=125.61,-3.1,4.791,2.903
5uwi_cleaned_1054_uff_E=125.61,-3.1,19.666,18.503
5uwi_cleaned_1054_uff_E=125.61,-3.1,3.99,2.319
5uwi_cleaned_1054_uff_E=125.61,-3.1,18.25,17.053
5uwi_cleaned_1054_uff_E=125.61,-3.1,4.614,3.076
5uwi_cleaned_1054_uff_E=125.61,-3.0,19.445,18.081
5uwi_cleaned_1054_uff_E=125.61,-3.0,13.771,12.212
5uwi_cleaned_1054_uff_E=125.61,-2.9,14.914,13.615
5uwi_cleaned_1057_uff_E=62.72,-3.1,0.0,0.0
5uwi_cleaned_1057_uff_E=62.72,-3.0,1.925,0.94
5uwi_cleaned_1057_uff_E=62.72,-2.9,17.86,16.623
5uwi_cleaned_1057_uff_E=62.72,-2.9,17.738,16.627
5uwi_cleaned_1057_uff_E=62.72,-2.8,7.68,6.527
5uwi_cleaned_1057_uff_E=62.72,-2.8,15.199,14.145
5uwi_cleaned_1057_uff_E=62.72,-2.8,15.217,14.137
5uwi_cleaned_1057_uff_E=62.72,-2.7,18.592,17.702
5uwi_cleaned_1057_uff_E=62.72,-2.7,18.746,17.683
5uwi_cleaned_3764_uff_E=337.15,-4.3,0.0,0.0
5uwi_cleaned_3764_uff_E=337.15,-4.3,15.06,11.328
5uwi_cleaned_3764_uff_E=337.15,-4.1,9.698,8.47
5uwi_cleaned_3764_uff_E=337.15,-4.1,18.366,13.765
5uwi_cleaned_3764_uff_E=337.15,-4.0,8.158,2.095
5uwi_cleaned_3764_uff_E=337.15,-4.0,9.828,6.657
5uwi_cleaned_3764_uff_E=337.15,-3.9,6.921,1.943
5uwi_cleaned_3764_uff_E=337.15,-3.8,22.689,20.291
5uwi_cleaned_3764_uff_E=337.15,-3.7,9.918,6.346
5uwi_cleaned_4276_uff_E=330.81,-3.4,0.0,0.0
5uwi_cleaned_4276_uff_E=330.81,-3.3,12.924,11.503
5uwi_cleaned_4276_uff_E=330.81,-3.2,13.526,12.31
5uwi_cleaned_4276_uff_E=330.81,-3.2,10.421,9.269
5uwi_cleaned_4276_uff_E=330.81,-3.2,14.862,13.682
5uwi_cleaned_4276_uff_E=330.81,-3.1,6.27,4.697
5uwi_cleaned_4276_uff_E=330.81,-3.1,6.337,4.566
5uwi_cleaned_4276_uff_E=330.81,-3.1,6.352,4.445
5uwi_cleaned_4276_uff_E=330.81,-3.1,3.078,2.137
5uwi_cleaned_5997_uff_E=549.32,-4.7,0.0,0.0
5uwi_cleaned_5997_uff_E=549.32,-4.6,3.828,1.914
5uwi_cleaned_5997_uff_E=549.32,-4.6,8.076,3.154
5uwi_cleaned_5997_uff_E=549.32,-4.5,5.091,2.977
5uwi_cleaned_5997_uff_E=549.32,-4.4,8.245,3.108
5uwi_cleaned_5997_uff_E=549.32,-4.4,2.807,1.313
5uwi_cleaned_5997_uff_E=549.32,-4.4,7.853,5.26
5uwi_cleaned_5997_uff_E=549.32,-4.2,10.792,8.203
5uwi_cleaned_5997_uff_E=549.32,-4.1,7.905,3.175
5uwi_cleaned_6613_uff_E=133.81,-3.0,0.0,0.0
