Ligand,Binding Affinity,rmsd/ub, rmsd/lb
3c5k_cleaned_289_uff_E=55.42,-4.6,0.0,0.0
3c5k_cleaned_289_uff_E=55.42,-4.4,4.645,3.947
3c5k_cleaned_289_uff_E=55.42,-4.4,5.137,3.974
3c5k_cleaned_289_uff_E=55.42,-4.4,3.898,2.603
3c5k_cleaned_289_uff_E=55.42,-4.3,3.433,2.637
3c5k_cleaned_289_uff_E=55.42,-4.3,2.415,0.989
3c5k_cleaned_289_uff_E=55.42,-4.2,4.135,2.707
3c5k_cleaned_289_uff_E=55.42,-4.0,19.455,18.408
3c5k_cleaned_289_uff_E=55.42,-4.0,21.161,20.083
3c5k_cleaned_892_uff_E=156.51,-4.8,0.0,0.0
3c5k_cleaned_892_uff_E=156.51,-4.8,10.578,9.135
3c5k_cleaned_892_uff_E=156.51,-4.6,10.634,9.378
3c5k_cleaned_892_uff_E=156.51,-4.4,16.398,14.685
3c5k_cleaned_892_uff_E=156.51,-4.4,16.892,14.807
3c5k_cleaned_892_uff_E=156.51,-4.3,20.163,19.161
3c5k_cleaned_892_uff_E=156.51,-4.3,16.465,14.52
3c5k_cleaned_892_uff_E=156.51,-4.1,16.449,14.509
3c5k_cleaned_892_uff_E=156.51,-4.0,3.613,1.114
3c5k_cleaned_938_uff_E=58.73,-5.1,0.0,0.0
3c5k_cleaned_938_uff_E=58.73,-4.5,2.599,1.892
3c5k_cleaned_938_uff_E=58.73,-4.2,11.313,10.742
3c5k_cleaned_938_uff_E=58.73,-4.2,18.074,16.99
3c5k_cleaned_938_uff_E=58.73,-4.1,14.733,13.88
3c5k_cleaned_938_uff_E=58.73,-4.1,18.222,17.137
3c5k_cleaned_938_uff_E=58.73,-4.1,5.751,5.28
3c5k_cleaned_938_uff_E=58.73,-3.9,3.44,2.724
3c5k_cleaned_938_uff_E=58.73,-3.9,14.254,13.768
3c5k_cleaned_985_uff_E=57.46,-4.8,0.0,0.0
3c5k_cleaned_985_uff_E=57.46,-4.3,17.372,15.141
3c5k_cleaned_985_uff_E=57.46,-4.3,2.369,1.68
3c5k_cleaned_985_uff_E=57.46,-4.2,17.814,15.55
3c5k_cleaned_985_uff_E=57.46,-4.2,21.124,18.304
3c5k_cleaned_985_uff_E=57.46,-4.1,21.241,18.293
3c5k_cleaned_985_uff_E=57.46,-4.1,19.286,16.249
3c5k_cleaned_985_uff_E=57.46,-4.0,18.118,15.075
3c5k_cleaned_985_uff_E=57.46,-4.0,18.253,15.893
3c5k_cleaned_1054_uff_E=125.61,-5.0,0.0,0.0
3c5k_cleaned_1054_uff_E=125.61,-4.8,4.437,3.387
3c5k_cleaned_1054_uff_E=125.61,-4.6,3.765,2.943
3c5k_cleaned_1054_uff_E=125.61,-4.6,4.319,3.436
3c5k_cleaned_1054_uff_E=125.61,-4.5,4.944,3.199
3c5k_cleaned_1054_uff_E=125.61,-4.4,13.926,12.256
3c5k_cleaned_1054_uff_E=125.61,-4.4,3.803,3.368
3c5k_cleaned_1054_uff_E=125.61,-4.3,13.544,11.861
3c5k_cleaned_1054_uff_E=125.61,-4.3,13.901,12.323
3c5k_cleaned_1057_uff_E=62.72,-4.7,0.0,0.0
3c5k_cleaned_1057_uff_E=62.72,-4.7,2.778,0.034
3c5k_cleaned_1057_uff_E=62.72,-4.7,3.694,2.357
3c5k_cleaned_1057_uff_E=62.72,-4.7,2.994,2.353
3c5k_cleaned_1057_uff_E=62.72,-4.4,2.66,1.245
3c5k_cleaned_1057_uff_E=62.72,-4.4,4.007,2.594
3c5k_cleaned_1057_uff_E=62.72,-4.3,5.032,3.248
3c5k_cleaned_1057_uff_E=62.72,-4.3,2.84,1.328
3c5k_cleaned_1057_uff_E=62.72,-4.3,21.643,20.308
3c5k_cleaned_3764_uff_E=337.15,-6.5,0.0,0.0
3c5k_cleaned_3764_uff_E=337.15,-6.4,7.953,1.728
3c5k_cleaned_3764_uff_E=337.15,-6.3,20.508,15.92
3c5k_cleaned_3764_uff_E=337.15,-6.2,19.737,15.324
3c5k_cleaned_3764_uff_E=337.15,-6.2,7.247,1.413
3c5k_cleaned_3764_uff_E=337.15,-6.0,2.223,1.022
3c5k_cleaned_3764_uff_E=337.15,-5.9,19.257,15.995
3c5k_cleaned_3764_uff_E=337.15,-5.8,2.632,1.387
3c5k_cleaned_3764_uff_E=337.15,-5.8,2.308,1.604
3c5k_cleaned_4276_uff_E=330.81,-5.9,0.0,0.0
3c5k_cleaned_4276_uff_E=330.81,-5.9,5.666,3.141
3c5k_cleaned_4276_uff_E=330.81,-5.6,4.987,3.104
3c5k_cleaned_4276_uff_E=330.81,-5.6,3.127,1.082
3c5k_cleaned_4276_uff_E=330.81,-5.2,5.487,3.591
3c5k_cleaned_4276_uff_E=330.81,-5.1,20.39,17.751
3c5k_cleaned_4276_uff_E=330.81,-4.9,4.054,2.258
3c5k_cleaned_4276_uff_E=330.81,-4.9,3.588,2.243
3c5k_cleaned_4276_uff_E=330.81,-4.8,18.332,15.866
3c5k_cleaned_5997_uff_E=549.32,-7.3,0.0,0.0
3c5k_cleaned_5997_uff_E=549.32,-7.1,2.605,1.457
3c5k_cleaned_5997_uff_E=549.32,-6.9,8.802,3.204
3c5k_cleaned_5997_uff_E=549.32,-6.8,2.255,1.296
3c5k_cleaned_5997_uff_E=549.32,-6.5,9.834,3.932
3c5k_cleaned_5997_uff_E=549.32,-6.4,8.8,3.314
3c5k_cleaned_5997_uff_E=549.32,-6.3,23.222,17.222
3c5k_cleaned_5997_uff_E=549.32,-6.2,9.358,3.692
