Ligand,Binding Affinity,rmsd/ub, rmsd/lb
4a69_cleaned_289_uff_E=55.42,-4.3,0.0,0.0
4a69_cleaned_289_uff_E=55.42,-4.2,20.758,20.355
4a69_cleaned_289_uff_E=55.42,-4.2,36.363,35.292
4a69_cleaned_289_uff_E=55.42,-4.1,2.462,1.084
4a69_cleaned_289_uff_E=55.42,-4.1,23.452,22.299
4a69_cleaned_289_uff_E=55.42,-4.1,23.387,22.324
4a69_cleaned_289_uff_E=55.42,-3.9,23.544,22.422
4a69_cleaned_289_uff_E=55.42,-3.9,22.495,22.112
4a69_cleaned_289_uff_E=55.42,-3.9,22.496,22.118
4a69_cleaned_892_uff_E=156.51,-4.8,0.0,0.0
4a69_cleaned_892_uff_E=156.51,-4.7,39.964,38.983
4a69_cleaned_892_uff_E=156.51,-4.5,40.525,39.484
4a69_cleaned_892_uff_E=156.51,-4.5,3.352,1.884
4a69_cleaned_892_uff_E=156.51,-4.5,41.817,39.995
4a69_cleaned_892_uff_E=156.51,-4.5,40.525,39.464
4a69_cleaned_892_uff_E=156.51,-4.5,4.214,1.527
4a69_cleaned_892_uff_E=156.51,-4.5,41.845,39.951
4a69_cleaned_892_uff_E=156.51,-4.5,3.863,1.412
4a69_cleaned_938_uff_E=58.73,-5.2,0.0,0.0
4a69_cleaned_938_uff_E=58.73,-4.2,29.267,28.633
4a69_cleaned_938_uff_E=58.73,-4.2,17.21,16.44
4a69_cleaned_938_uff_E=58.73,-4.0,32.387,31.791
4a69_cleaned_938_uff_E=58.73,-4.0,19.016,18.229
4a69_cleaned_938_uff_E=58.73,-4.0,23.028,22.26
4a69_cleaned_938_uff_E=58.73,-3.8,22.847,22.079
4a69_cleaned_938_uff_E=58.73,-3.8,14.78,14.024
4a69_cleaned_938_uff_E=58.73,-3.8,25.08,24.638
4a69_cleaned_985_uff_E=57.46,-5.1,0.0,0.0
4a69_cleaned_985_uff_E=57.46,-5.0,10.662,6.976
4a69_cleaned_985_uff_E=57.46,-4.7,20.601,18.31
4a69_cleaned_985_uff_E=57.46,-4.7,12.77,9.298
4a69_cleaned_985_uff_E=57.46,-4.6,2.109,1.437
4a69_cleaned_985_uff_E=57.46,-4.5,30.962,29.616
4a69_cleaned_985_uff_E=57.46,-4.5,31.14,28.023
4a69_cleaned_985_uff_E=57.46,-4.4,13.0,9.456
4a69_cleaned_985_uff_E=57.46,-4.3,31.446,29.48
4a69_cleaned_1054_uff_E=125.61,-4.8,0.0,0.0
4a69_cleaned_1054_uff_E=125.61,-4.6,26.131,25.444
4a69_cleaned_1054_uff_E=125.61,-4.5,28.885,26.967
4a69_cleaned_1054_uff_E=125.61,-4.5,4.399,3.012
4a69_cleaned_1054_uff_E=125.61,-4.4,3.242,2.395
4a69_cleaned_1054_uff_E=125.61,-4.4,40.574,38.511
4a69_cleaned_1054_uff_E=125.61,-4.3,28.719,28.147
4a69_cleaned_1054_uff_E=125.61,-4.1,30.934,30.272
4a69_cleaned_1054_uff_E=125.61,-4.1,27.38,25.408
