Ligand,Binding Affinity,rmsd/ub, rmsd/lb
8q9r_cleaned_289_uff_E=55.42,-3.9,0.0,0.0
8q9r_cleaned_289_uff_E=55.42,-3.9,2.209,0.048
8q9r_cleaned_289_uff_E=55.42,-3.8,1.921,1.057
8q9r_cleaned_289_uff_E=55.42,-3.8,2.386,1.056
8q9r_cleaned_289_uff_E=55.42,-3.8,33.141,32.249
8q9r_cleaned_289_uff_E=55.42,-3.8,33.259,32.538
8q9r_cleaned_289_uff_E=55.42,-3.7,24.86,23.606
8q9r_cleaned_289_uff_E=55.42,-3.7,13.449,12.347
8q9r_cleaned_289_uff_E=55.42,-3.6,26.538,25.68
8q9r_cleaned_892_uff_E=156.51,-4.1,0.0,0.0
8q9r_cleaned_892_uff_E=156.51,-4.1,9.347,8.292
8q9r_cleaned_892_uff_E=156.51,-4.1,23.42,21.683
8q9r_cleaned_892_uff_E=156.51,-4.1,9.663,8.605
8q9r_cleaned_892_uff_E=156.51,-4.1,29.028,27.699
8q9r_cleaned_892_uff_E=156.51,-4.1,29.23,27.962
8q9r_cleaned_892_uff_E=156.51,-4.0,29.098,27.914
8q9r_cleaned_892_uff_E=156.51,-4.0,23.343,21.59
8q9r_cleaned_892_uff_E=156.51,-4.0,3.067,0.893
8q9r_cleaned_938_uff_E=58.73,-4.0,0.0,0.0
8q9r_cleaned_938_uff_E=58.73,-3.9,4.198,3.503
8q9r_cleaned_938_uff_E=58.73,-3.8,26.873,26.275
8q9r_cleaned_938_uff_E=58.73,-3.8,26.24,25.773
8q9r_cleaned_938_uff_E=58.73,-3.7,1.83,1.738
8q9r_cleaned_938_uff_E=58.73,-3.7,16.972,15.976
8q9r_cleaned_938_uff_E=58.73,-3.5,35.471,34.801
8q9r_cleaned_938_uff_E=58.73,-3.5,14.164,13.588
8q9r_cleaned_938_uff_E=58.73,-3.5,24.805,24.21
8q9r_cleaned_985_uff_E=57.46,-4.7,0.0,0.0
8q9r_cleaned_985_uff_E=57.46,-4.5,5.252,3.644
8q9r_cleaned_985_uff_E=57.46,-4.4,22.909,19.636
8q9r_cleaned_985_uff_E=57.46,-4.4,22.811,19.582
8q9r_cleaned_985_uff_E=57.46,-4.3,6.866,3.52
8q9r_cleaned_985_uff_E=57.46,-4.3,2.562,2.02
8q9r_cleaned_985_uff_E=57.46,-4.3,8.483,4.724
8q9r_cleaned_985_uff_E=57.46,-4.3,19.361,16.864
8q9r_cleaned_985_uff_E=57.46,-4.2,23.605,21.317
8q9r_cleaned_1054_uff_E=125.61,-4.5,0.0,0.0
8q9r_cleaned_1054_uff_E=125.61,-4.2,8.212,7.356
8q9r_cleaned_1054_uff_E=125.61,-4.2,9.843,8.894
8q9r_cleaned_1054_uff_E=125.61,-4.1,12.635,11.28
8q9r_cleaned_1054_uff_E=125.61,-4.1,33.522,32.085
8q9r_cleaned_1054_uff_E=125.61,-4.0,11.536,10.509
8q9r_cleaned_1054_uff_E=125.61,-3.9,33.568,31.652
8q9r_cleaned_1054_uff_E=125.61,-3.9,8.887,8.05
8q9r_cleaned_1054_uff_E=125.61,-3.9,27.713,26.417
8q9r_cleaned_1057_uff_E=62.72,-4.2,0.0,0.0
8q9r_cleaned_1057_uff_E=62.72,-4.0,36.317,35.525
8q9r_cleaned_1057_uff_E=62.72,-3.9,3.119,1.114
8q9r_cleaned_1057_uff_E=62.72,-3.9,36.237,35.674
8q9r_cleaned_1057_uff_E=62.72,-3.9,34.256,33.446
8q9r_cleaned_1057_uff_E=62.72,-3.8,34.248,33.432
8q9r_cleaned_1057_uff_E=62.72,-3.8,33.846,33.002
8q9r_cleaned_1057_uff_E=62.72,-3.7,24.7,23.736
8q9r_cleaned_1057_uff_E=62.72,-3.6,14.774,14.22
8q9r_cleaned_3764_uff_E=337.15,-6.1,0.0,0.0
8q9r_cleaned_3764_uff_E=337.15,-5.9,5.978,4.591
8q9r_cleaned_3764_uff_E=337.15,-5.9,6.307,4.05
8q9r_cleaned_3764_uff_E=337.15,-5.9,6.175,5.23
8q9r_cleaned_3764_uff_E=337.15,-5.8,20.617,18.106
8q9r_cleaned_3764_uff_E=337.15,-5.7,19.183,17.155
8q9r_cleaned_3764_uff_E=337.15,-5.7,5.373,3.382
8q9r_cleaned_3764_uff_E=337.15,-5.7,8.407,3.961
8q9r_cleaned_3764_uff_E=337.15,-5.7,5.286,4.626
8q9r_cleaned_4276_uff_E=330.81,-4.9,0.0,0.0
8q9r_cleaned_4276_uff_E=330.81,-4.9,5.311,4.131
8q9r_cleaned_4276_uff_E=330.81,-4.8,5.236,3.126
8q9r_cleaned_4276_uff_E=330.81,-4.7,22.962,20.081
8q9r_cleaned_4276_uff_E=330.81,-4.7,5.945,4.109
8q9r_cleaned_4276_uff_E=330.81,-4.6,23.945,21.041
