Ligand,Binding Affinity,rmsd/ub, rmsd/lb
6049c7bc34a5773a_289_uff_E=55.42,-4.3,0.0,0.0
6049c7bc34a5773a_289_uff_E=55.42,-4.3,2.209,0.052
6049c7bc34a5773a_289_uff_E=55.42,-4.3,29.843,28.929
6049c7bc34a5773a_289_uff_E=55.42,-4.3,32.772,32.212
6049c7bc34a5773a_289_uff_E=55.42,-4.3,2.859,1.646
6049c7bc34a5773a_289_uff_E=55.42,-4.1,29.777,28.859
6049c7bc34a5773a_289_uff_E=55.42,-4.0,2.675,1.822
6049c7bc34a5773a_289_uff_E=55.42,-3.9,18.159,17.08
6049c7bc34a5773a_289_uff_E=55.42,-3.9,2.756,1.815
6049c7bc34a5773a_892_uff_E=156.51,-5.1,0.0,0.0
6049c7bc34a5773a_892_uff_E=156.51,-5.0,28.904,27.622
6049c7bc34a5773a_892_uff_E=156.51,-5.0,3.794,1.904
6049c7bc34a5773a_892_uff_E=156.51,-5.0,29.24,27.933
6049c7bc34a5773a_892_uff_E=156.51,-4.8,3.282,1.004
6049c7bc34a5773a_892_uff_E=156.51,-4.8,3.127,0.897
6049c7bc34a5773a_892_uff_E=156.51,-4.8,29.174,27.816
6049c7bc34a5773a_892_uff_E=156.51,-4.8,15.734,14.719
6049c7bc34a5773a_892_uff_E=156.51,-4.8,3.097,1.773
6049c7bc34a5773a_938_uff_E=58.73,-4.7,0.0,0.0
6049c7bc34a5773a_938_uff_E=58.73,-4.6,15.336,14.536
6049c7bc34a5773a_938_uff_E=58.73,-4.5,29.702,28.831
6049c7bc34a5773a_938_uff_E=58.73,-4.3,24.492,23.971
6049c7bc34a5773a_938_uff_E=58.73,-4.3,38.142,37.251
6049c7bc34a5773a_938_uff_E=58.73,-3.9,28.41,27.852
6049c7bc34a5773a_938_uff_E=58.73,-3.9,14.217,13.642
6049c7bc34a5773a_938_uff_E=58.73,-3.9,13.124,12.28
6049c7bc34a5773a_938_uff_E=58.73,-3.8,29.968,29.096
6049c7bc34a5773a_985_uff_E=57.46,-4.1,0.0,0.0
6049c7bc34a5773a_985_uff_E=57.46,-3.9,26.33,23.992
6049c7bc34a5773a_985_uff_E=57.46,-3.8,34.366,32.442
6049c7bc34a5773a_985_uff_E=57.46,-3.8,24.871,23.268
6049c7bc34a5773a_985_uff_E=57.46,-3.8,13.21,11.08
6049c7bc34a5773a_985_uff_E=57.46,-3.7,32.941,28.483
6049c7bc34a5773a_985_uff_E=57.46,-3.6,39.494,37.904
6049c7bc34a5773a_985_uff_E=57.46,-3.6,19.149,15.895
6049c7bc34a5773a_985_uff_E=57.46,-3.6,44.893,42.415
6049c7bc34a5773a_1054_uff_E=125.61,-4.7,0.0,0.0
6049c7bc34a5773a_1054_uff_E=125.61,-4.5,38.266,36.347
6049c7bc34a5773a_1054_uff_E=125.61,-4.4,2.305,1.905
6049c7bc34a5773a_1054_uff_E=125.61,-4.3,30.6,29.197
6049c7bc34a5773a_1054_uff_E=125.61,-4.3,3.753,1.701
6049c7bc34a5773a_1054_uff_E=125.61,-4.2,46.481,45.22
6049c7bc34a5773a_1054_uff_E=125.61,-4.1,39.978,38.403
6049c7bc34a5773a_1054_uff_E=125.61,-4.1,35.695,34.69
6049c7bc34a5773a_1054_uff_E=125.61,-4.1,39.747,38.087
6049c7bc34a5773a_1057_uff_E=62.72,-5.3,0.0,0.0
6049c7bc34a5773a_1057_uff_E=62.72,-4.9,2.847,2.35
6049c7bc34a5773a_1057_uff_E=62.72,-4.8,18.113,17.37
6049c7bc34a5773a_1057_uff_E=62.72,-4.8,2.754,2.354
6049c7bc34a5773a_1057_uff_E=62.72,-4.7,33.933,33.529
6049c7bc34a5773a_1057_uff_E=62.72,-4.7,33.923,33.528
6049c7bc34a5773a_1057_uff_E=62.72,-4.6,29.666,28.941
6049c7bc34a5773a_1057_uff_E=62.72,-4.6,25.027,23.769
6049c7bc34a5773a_1057_uff_E=62.72,-4.6,15.837,14.656
6049c7bc34a5773a_3764_uff_E=337.15,-5.9,0.0,0.0
